type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,0C:B8:15:C1:B6:35,-68,11,0,0,0,0,0,0,0,0,0,-94,0,1,1,16335,0,34,0,0,0.203257,128,[34 32 2 0 0 0 0 0 0 0 0 0 16 -22 17 -21 19 -22 17 -22 19 -20 19 -16 19 -17 19 -15 19 -18 19 -16 19 -17 20 -17 19 -17 18 -16 17 -14 19 -18 17 -13 16 -13 15 -13 16 -12 15 -12 17 -13 14 -12 12 -14 13 -14 14 -14 0 0 11 -14 12 -15 11 -15 8 -16 9 -13 9 -15 8 -15 9 -14 7 -16 8 -13 7 -15 7 -15 6 -14 6 -15 5 -14 5 -15 5 -16 4 -15 5 -15 4 -16 4 -14 4 -14 2 -15 2 -15 1 -14 3 -14 0 0 0 0 0 0 0 0 0 0 ],1668504215.2205012
CSI_DATA,STA,0C:B8:15:C1:B6:35,-68,11,0,0,0,0,0,0,0,0,0,-94,0,1,1,34043,0,131,0,0,0.220554,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -23 -12 -21 -13 -22 -13 -23 -14 -22 -14 -18 -13 -19 -15 -17 -15 -18 -15 -17 -15 -19 -15 -18 -17 -17 -16 -17 -15 -15 -15 -18 -15 -14 -14 -14 -14 -14 -13 -13 -13 -13 -13 -13 -13 -12 -12 -14 -12 -14 -12 -14 -12 0 0 -14 -10 -15 -10 -15 -9 -14 -9 -13 -8 -14 -8 -13 -8 -13 -8 -15 -7 -14 -8 -15 -7 -14 -6 -14 -6 -14 -6 -13 -6 -14 -6 -14 -5 -14 -5 -13 -5 -14 -4 -14 -4 -14 -4 -13 -4 -14 -3 -13 -3 -14 -2 0 0 0 0 0 0 0 0 0 0 ],1668504215.2403007
CSI_DATA,STA,0C:B8:15:C1:B6:35,-70,11,0,0,0,0,0,0,0,0,0,-93,0,1,1,4036066,0,30,0,0,4.2226,128,[30 -32 1 0 0 0 0 0 0 0 0 0 22 6 23 8 22 8 23 8 20 9 20 10 20 9 18 9 18 10 17 9 19 9 18 10 17 11 16 9 16 9 18 8 15 8 13 7 15 7 15 6 14 6 15 5 13 5 15 6 17 5 16 6 0 0 15 4 15 3 16 2 14 1 14 3 16 2 14 2 13 1 14 1 13 1 14 0 12 -1 12 0 14 -1 12 -2 13 -1 13 -3 13 -2 12 -1 11 -2 11 -2 12 -2 11 -2 12 -2 11 -1 12 -1 0 0 0 0 0 0 0 0 0 0 ],1668504219.2395387
CSI_DATA,STA,0C:B8:15:C1:B6:35,-68,11,0,0,0,0,0,0,0,0,0,-94,0,1,1,6134047,0,131,0,0,6.32102,128,[-125 48 8 0 0 0 0 0 0 0 0 0 28 -2 26 1 28 1 29 0 28 2 26 3 27 3 24 4 24 3 24 5 26 4 27 6 25 5 24 5 22 5 25 4 21 5 21 6 21 5 20 6 19 6 22 4 18 4 18 5 20 3 19 1 0 0 18 2 18 0 19 -2 18 1 16 1 19 0 18 -1 17 0 17 -2 15 -2 17 -2 16 -1 16 -1 17 -2 16 -3 13 -3 17 -3 16 -4 16 -4 15 -5 14 -4 14 -4 14 -6 14 -6 14 -4 13 -6 0 0 0 0 0 0 0 0 0 0 ],1668504221.3378844
CSI_DATA,STA,0C:B8:15:C1:B6:35,-74,11,1,3,1,1,1,0,0,0,0,-94,0,1,1,6140588,0,135,0,0,6.32847,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 -22 -18 -22 -18 -24 -19 -24 -17 -25 -16 -23 -16 -21 -14 -21 -11 -25 -13 -26 -13 -21 -11 -24 -11 -21 -12 -23 -9 -22 -12 -23 -9 -21 -9 -21 -12 -17 -10 -19 -7 -19 -12 -19 -10 -17 -10 -17 -11 -19 -7 -20 0 0 -11 -17 -12 -15 -8 -14 -12 -15 -10 -16 -9 -15 -12 -14 -13 -16 -10 -13 -9 -11 -12 -13 -12 -13 -13 -12 -14 -12 -14 -10 -12 -11 -12 -9 -11 -9 -13 -6 -13 -7 -14 -9 -13 -8 -14 -7 -16 -8 -7 -9 -18 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -8 24 -9 30 1 25 -7 26 -8 22 -5 26 -3 24 -2 27 -3 24 -5 22 -4 22 -2 22 -4 24 -5 23 -3 22 -5 20 -3 22 2 19 1 17 -4 18 2 20 -2 16 -1 22 0 14 -1 15 0 15 -1 21 3 15 -1 15 0 17 -7 11 -3 15 0 14 1 14 -4 14 0 11 0 9 5 11 4 6 -3 7 -4 4 -3 8 3 3 0 5 -1 -1 -3 -2 0 -1 2 -3 -2 -5 5 -5 -2 -6 0 -3 3 -2 13 -10 5 -3 -1 -23 18 6 -1 -1 -1 -1 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -38 -43 -33 -42 -35 -42 -36 -43 -30 -44 -26 -45 -31 -42 -28 -42 -24 -46 -23 -45 -21 -44 -21 -45 -22 -44 -25 -42 -18 -45 -21 -40 -22 -38 -20 -35 -15 -34 -20 -33 -11 -37 -18 -34 -18 -34 -21 -37 -20 -30 -17 -32 -23 -38 -15 -32 -19 -30 -18 -31 -16 -28 -22 -29 -24 -26 -24 -25 -27 -30 -20 -24 -24 -21 -22 -26 -23 -22 -22 -19 -25 -21 -24 -17 -26 -20 -26 -15 -23 -17 -24 -11 -26 -11 -23 -16 -26 -16 -25 -16 -25 -11 -27 -12 -25 -12 -19 -11 -29 -14 -31 -15 -32 -4 -1 -1 ],1668504221.3526616
CSI_DATA,STA,0C:B8:15:C1:B6:35,-74,11,1,3,1,1,1,0,0,0,0,-94,0,1,1,6190276,0,239,0,0,6.37689,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 20 -16 23 -16 23 -17 26 -16 24 -16 23 -13 23 -14 23 -15 22 -12 23 -13 22 -14 23 -11 23 -12 23 -8 22 -11 22 -8 21 -8 20 -10 21 -8 21 -6 20 -8 20 -10 17 -8 17 -8 17 -10 17 -9 0 0 17 -9 14 -9 15 -9 16 -9 14 -9 15 -9 16 -10 13 -10 14 -9 12 -10 12 -10 11 -12 11 -13 11 -12 12 -11 11 -12 10 -11 11 -13 10 -12 11 -13 10 -12 11 -14 9 -13 7 -14 7 -15 9 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -20 -21 -19 -19 -21 -21 -21 -17 -23 -13 -23 -13 -21 -12 -23 -14 -23 -13 -23 -13 -23 -10 -20 -11 -23 -12 -21 -9 -22 -9 -22 -8 -21 -11 -20 -9 -22 -8 -22 -9 -21 -8 -19 -5 -16 -9 -20 -6 -16 -5 -17 -10 -13 -7 -15 -2 -16 -6 -17 -5 -15 -12 -14 -5 -12 -6 -11 -8 -14 -3 -7 -6 -11 -7 -9 -6 -6 -5 -9 -4 -10 -4 -5 -2 -5 -3 -3 -3 -2 0 -3 -1 -3 -2 -1 -1 -5 1 3 4 1 7 0 0 2 10 2 3 3 5 2 13 6 11 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 44 -22 47 -20 48 -20 50 -20 48 -15 48 -11 46 -18 45 -16 45 -12 45 -15 45 -14 45 -10 47 -9 47 -9 45 -7 44 -8 44 -10 37 -8 40 -8 41 -6 41 -9 39 -12 37 -8 37 -13 33 -11 34 -10 39 -5 33 -13 30 -10 30 -10 32 -12 28 -9 31 -16 32 -14 26 -14 29 -13 27 -14 26 -15 24 -14 24 -17 25 -17 25 -18 25 -19 23 -16 24 -19 19 -18 21 -20 21 -19 18 -20 20 -19 16 -19 19 -23 21 -22 19 -21 22 -21 24 -20 22 -15 -1 -1 ],1668504221.404918
CSI_DATA,STA,0C:B8:15:C1:B6:35,-70,11,0,0,0,0,0,0,0,0,0,-93,0,1,1,8026089,0,37,0,0,8.21296,128,[37 80 2 0 0 0 0 0 0 0 0 0 -27 -1 -26 -3 -28 -4 -29 -3 -26 -4 -25 -5 -25 -5 -24 -7 -25 -6 -23 -8 -24 -7 -24 -7 -23 -7 -22 -7 -21 -7 -24 -6 -21 -7 -20 -6 -18 -7 -20 -7 -19 -6 -20 -6 -17 -6 -18 -5 -18 -3 -18 -5 0 0 -18 -4 -17 -3 -18 -1 -18 0 -16 -1 -18 -1 -16 0 -17 0 -17 1 -17 -2 -17 0 -16 0 -16 0 -16 1 -16 1 -15 2 -16 3 -15 1 -16 2 -15 2 -15 2 -15 4 -15 3 -16 3 -14 4 -14 3 0 0 0 0 0 0 0 0 0 0 ],1668504223.2292635
CSI_DATA,STA,0C:B8:15:C1:B6:35,-75,11,1,3,1,1,1,0,0,0,0,-93,0,1,1,8032453,0,82,0,0,8.21894,384,[82 -96 4 0 0 0 0 0 0 0 0 0 24 -3 26 -3 28 -3 27 0 24 0 25 0 26 -1 24 2 23 3 23 3 27 2 24 2 22 3 26 1 21 2 25 2 23 4 19 6 18 4 21 2 20 4 19 4 16 3 17 3 16 1 20 4 0 0 15 0 19 1 16 0 19 -2 15 1 18 0 17 0 17 -1 18 -3 15 -5 15 2 15 0 15 -1 15 -2 15 -4 13 -5 13 -3 13 -4 14 -4 10 -4 16 -5 16 -6 14 -3 12 -4 14 -7 9 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -7 -29 -14 -24 -8 -19 -14 -16 -12 -25 -15 -24 -12 -19 -11 -21 -14 -21 -13 -19 -12 -19 -14 -19 -12 -22 -10 -21 -13 -22 -9 -18 -7 -24 -10 -19 -5 -16 -9 -18 -17 -19 -11 -15 -9 -17 -4 -15 -8 -16 -8 -11 -6 -14 -4 -13 -5 -14 -8 -13 -8 -15 -7 -16 -3 -14 -5 -12 -9 -6 -1 -12 -4 -9 1 -7 -2 -4 1 -9 -3 -7 1 -6 5 -5 3 -2 1 -5 3 3 -1 0 6 7 3 7 3 2 -1 1 6 4 -1 10 2 12 -8 11 -15 19 0 1 -1 -1 0 0 0 0 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 48 -13 49 -11 47 -9 49 -8 47 -6 45 -8 50 -7 42 -5 48 2 44 5 44 3 41 3 45 4 45 3 40 6 43 4 43 2 38 8 38 1 40 6 39 -1 36 6 39 2 32 2 39 6 35 4 30 11 31 -2 37 0 27 0 28 -2 32 -2 26 -3 36 2 33 -10 24 -2 30 -6 29 -4 26 -4 28 -6 30 -6 27 -5 26 -5 28 -7 21 -11 32 -6 20 -13 24 -11 23 -6 29 -10 24 -15 23 -12 22 -15 28 -15 24 -9 20 -13 26 -11 -1 -1 ],1668504223.244227
CSI_DATA,STA,0C:B8:15:C1:B6:35,-69,11,0,0,0,0,0,0,0,0,0,-93,0,1,1,8060071,0,37,0,0,8.24675,128,[37 80 2 0 0 0 0 0 0 0 0 0 11 23 10 22 12 24 11 25 10 24 7 22 8 25 6 23 6 24 5 24 5 24 5 24 6 23 4 23 4 20 5 22 4 20 2 19 3 19 3 20 4 18 3 19 2 17 5 18 5 19 5 17 0 0 5 16 7 16 6 17 7 15 5 13 7 15 7 15 6 13 8 13 7 14 8 14 7 12 9 13 8 13 8 12 8 12 9 12 8 11 8 12 9 12 9 11 8 11 9 11 10 11 8 10 9 10 0 0 0 0 0 0 0 0 0 0 ],1668504223.2632115
CSI_DATA,STA,0C:B8:15:C1:B6:35,-76,11,1,3,1,1,1,1,0,0,0,-93,5,1,1,8124840,0,110,0,0,8.31171,384,[110 96 6 0 0 0 0 0 0 0 0 0 23 -3 24 -4 28 -4 27 -2 26 -4 22 0 26 -3 22 0 25 1 23 2 24 3 22 3 24 3 21 2 19 3 22 3 22 3 21 3 21 3 19 3 18 2 19 2 19 4 18 3 18 2 16 1 0 0 16 1 19 2 16 0 18 -1 14 0 17 -1 17 0 15 0 15 -4 18 -1 14 -3 13 -1 15 1 13 -3 14 -3 14 -3 15 -4 12 -6 14 -6 12 -6 13 -5 12 -4 14 -4 12 -5 15 -6 14 -7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -20 -25 -5 -24 -8 -27 -8 -27 -11 -20 -15 -20 -8 -23 -11 -22 -12 -24 -10 -23 -10 -21 -11 -18 -12 -22 -9 -22 -9 -20 -9 -18 -10 -22 -12 -20 -10 -19 -12 -18 -11 -15 -9 -17 -9 -16 -6 -16 -9 -17 -9 -15 -8 -14 -7 -16 -5 -17 -5 -15 -4 -8 -1 -11 -5 -11 -5 -13 -3 -7 1 -8 -2 -10 -1 -4 -2 -9 1 -6 2 -9 1 -7 1 -5 3 -3 0 0 0 2 1 1 3 4 3 7 0 4 -2 9 1 6 3 9 0 9 1 8 -5 13 0 16 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 48 -14 47 -14 48 -14 48 -6 50 -9 45 -7 47 -6 46 -3 50 -3 47 1 46 4 41 4 44 2 42 0 38 7 39 9 38 2 38 5 37 4 37 1 36 1 33 1 36 4 35 1 35 3 33 0 35 2 33 1 30 3 33 0 32 -1 29 2 31 -2 30 0 31 -2 29 -4 30 -3 26 -4 27 -3 27 -4 29 -6 23 -6 26 -3 28 -6 25 -9 24 -7 23 -11 23 -9 23 -5 30 -8 22 -9 25 -9 25 -21 29 -3 29 -6 28 -14 25 -13 -1 -1 ],1668504223.3348494
