type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,0C:B8:15:C1:99:F8,-75,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,30427,0,30,0,0,0.225176,128,[30 -32 1 0 0 0 0 0 0 0 0 0 6 10 5 8 5 10 5 10 6 8 2 7 5 2 5 4 4 3 9 3 5 1 9 3 9 1 13 0 13 -1 18 2 14 2 16 3 18 4 18 3 20 5 19 6 21 7 20 4 25 5 22 7 0 0 23 5 23 7 22 5 23 4 21 6 23 4 23 2 22 2 21 5 22 2 24 1 23 0 27 0 26 -5 26 -5 29 -5 30 -7 29 -6 29 -7 31 -6 34 -6 34 -5 37 -1 35 -1 35 1 38 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-81,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,81048,0,157,0,0,0.275671,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -1 7 0 5 -2 5 -2 5 -3 2 -2 4 -2 4 0 5 0 4 -2 3 1 4 -1 6 -2 5 -1 6 0 8 -1 6 -1 10 -2 10 0 7 -1 6 -3 7 -3 8 -4 9 -4 9 -2 10 -4 11 0 0 -6 11 -4 9 -3 8 -5 9 -3 10 -4 10 -3 8 -5 8 -5 10 -3 11 -4 11 -2 8 -2 11 -3 8 -2 14 -2 12 0 10 -1 11 -3 13 0 14 -3 14 -1 16 -2 16 -2 14 -5 16 -4 17 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 39 -9 41 -6 33 -14 32 -4 33 6 31 7 32 4 31 4 28 2 28 10 29 5 27 3 30 6 30 5 31 11 28 8 32 5 29 6 29 6 28 8 30 6 35 9 28 8 33 8 32 11 32 8 36 18 31 12 32 19 32 19 37 8 32 21 34 20 32 20 31 25 30 24 25 25 25 29 25 31 19 35 18 32 18 36 16 32 15 36 10 33 9 38 5 33 4 34 2 36 2 32 0 28 -3 27 -3 24 -3 26 -2 23 0 24 -13 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 10 1 10 -2 8 -2 9 -4 5 -3 11 0 9 0 8 -4 10 -1 9 2 8 4 9 4 8 1 11 3 14 0 15 0 17 0 17 0 14 2 18 0 15 -1 16 -6 19 -3 19 0 21 -8 21 1 25 -9 22 -4 19 -3 17 -5 20 -2 19 -2 20 0 17 -1 15 -4 18 -1 22 -4 20 -1 18 1 19 1 19 -2 25 0 22 4 23 2 21 5 19 5 24 2 26 6 27 4 29 5 26 0 30 -3 28 5 31 11 38 8 32 6 33 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-81,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,105328,0,135,0,0,0.29977,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -4 -2 -2 -3 -4 0 -5 -3 -6 -1 -2 -1 -2 -1 -3 -3 -3 -1 -7 -1 -4 3 -5 0 -8 2 -7 0 -7 -1 -7 2 -8 -1 -9 1 -11 -3 -13 -2 -14 -4 -12 -3 -9 -4 -12 -5 -11 -3 -10 -4 0 0 -11 -4 -12 -5 -11 -6 -9 -3 -11 -5 -11 -5 -12 -6 -11 -6 -8 -3 -10 -3 -11 0 -13 -4 -14 -2 -11 -3 -12 -3 -13 -1 -15 -3 -16 -2 -15 -1 -14 -2 -15 -2 -16 -6 -18 -5 -20 -4 -20 -5 -18 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -21 26 -24 36 -22 35 -16 35 -19 29 -19 29 -21 29 -23 27 -25 29 -21 28 -20 24 -20 26 -20 26 -23 25 -23 25 -21 23 -21 28 -19 25 -20 23 -23 26 -18 26 -24 27 -25 25 -23 24 -25 28 -26 21 -27 22 -28 25 -27 23 -27 25 -24 29 -30 27 -33 27 -36 21 -34 19 -36 20 -39 22 -37 17 -35 15 -38 13 -34 11 -39 9 -38 4 -35 4 -39 4 -38 1 -37 0 -39 -3 -36 -4 -35 -8 -30 -8 -30 -12 -31 -9 -28 -11 -25 -11 -28 -17 -12 -19 -1 -1 0 0 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -5 -6 -4 -3 -5 -2 -5 -5 -7 -3 -6 0 -2 0 -5 1 -4 -1 -12 -5 -12 3 -10 -1 -14 -3 -9 -3 -12 -8 -13 -1 -17 -5 -15 -1 -18 -11 -16 -7 -18 -8 -17 -11 -17 -9 -20 -12 -20 -10 -20 -12 -12 -10 -18 -9 -20 -12 -18 -12 -16 -10 -18 -13 -17 -11 -15 -10 -21 -9 -17 -6 -20 -6 -23 -6 -19 -11 -23 -8 -20 -10 -24 -6 -22 -7 -26 -7 -25 -4 -30 -5 -27 -6 -29 -7 -29 -9 -30 -11 -37 -13 -31 -11 -31 -12 -35 -15 -36 -19 -35 -19 -39 -21 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-81,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,183964,0,390,0,0,0.379008,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 15 1 11 1 14 3 15 -1 16 -4 14 0 18 -7 13 -2 10 0 11 2 11 2 10 1 10 4 8 5 13 6 15 6 16 9 12 5 16 8 17 9 18 8 19 5 17 7 20 8 20 6 18 0 0 8 18 9 14 6 17 7 15 6 15 6 14 4 13 8 10 8 7 8 7 12 3 8 3 17 0 14 1 13 0 18 -5 22 -2 24 -6 24 -6 26 -3 28 -7 32 -5 37 -6 40 -5 39 -3 43 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:6A:C5:82:D7:9B,-85,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,961335,0,138,0,0,1.15597,128,[-118 -96 8 0 0 0 0 0 0 0 0 0 -1 -7 -1 -7 1 -5 1 -9 -2 -5 7 -9 2 -8 3 -10 -7 -13 -3 -12 2 -7 6 -9 1 -7 6 -7 5 -1 7 -8 6 -8 10 -3 12 -4 5 -10 9 -7 12 -8 9 -10 15 -6 14 -4 11 -2 0 0 19 -6 13 -5 19 -6 17 -5 23 -5 13 -8 19 -3 21 -6 20 -7 19 -13 21 -5 21 -7 23 -7 22 -6 16 -4 17 -10 19 -9 18 -4 23 -14 21 -9 28 -6 24 -10 21 -10 22 -5 25 -8 22 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:6A:C5:82:D7:9B,-86,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,963648,0,130,0,0,1.16073,128,[-126 32 8 0 0 0 0 0 0 0 0 0 -5 4 -3 8 3 10 -3 4 -1 6 -6 10 -6 -1 0 3 -4 2 -1 8 -3 6 -3 7 -5 8 -7 10 -4 3 -9 1 -4 4 -13 7 -8 6 -7 5 -8 3 -13 6 -2 7 -12 -1 -10 7 -12 5 0 0 -19 3 -15 -2 -15 6 -18 1 -14 1 -17 -3 -14 2 -17 1 -17 -3 -19 3 -21 -2 -12 0 -15 -6 -18 -1 -18 -2 -24 2 -19 -12 -18 -1 -17 -5 -26 -4 -20 -9 -23 -2 -21 -8 -21 -8 -17 -2 -21 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-83,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,1179991,0,390,0,0,1.37435,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -5 4 -4 4 -3 3 -2 4 -2 0 -5 -1 -3 2 -2 0 -2 1 -2 1 -4 -1 -2 3 3 0 1 -1 1 -3 1 -1 3 1 0 1 6 2 4 3 5 1 6 1 2 3 5 2 7 4 4 3 0 0 4 4 8 4 7 5 7 5 9 4 9 6 7 7 8 7 7 5 7 6 9 4 10 5 10 5 9 7 8 6 11 5 11 7 9 6 9 6 11 7 11 7 14 11 15 11 15 10 12 12 14 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 39 -23 38 -18 41 -27 35 -30 35 -25 34 -22 44 -21 42 -19 42 -17 42 -13 37 -17 41 -14 39 -12 40 -10 40 -12 43 -12 44 -11 43 -7 41 -5 46 -14 42 -6 42 -6 44 -3 45 -3 41 2 40 -2 44 0 41 -2 43 1 40 3 43 -1 39 6 40 8 41 6 39 8 39 10 38 13 35 14 33 14 32 14 26 17 28 16 29 20 23 12 22 19 19 22 18 19 16 14 17 15 9 11 11 11 8 12 11 11 7 9 4 7 0 11 5 1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -8 8 -7 9 -5 7 -4 6 -4 5 -5 2 -3 4 -6 1 -5 3 -1 1 -4 4 -4 -1 3 -1 2 3 5 -4 2 -1 7 0 7 3 11 1 7 6 9 5 13 7 6 4 12 7 11 6 9 4 8 10 9 5 12 10 13 14 13 8 15 9 15 10 14 13 16 13 18 9 13 11 15 9 18 13 19 12 19 16 17 9 19 11 23 13 20 13 23 13 24 15 26 15 26 18 25 19 26 20 25 23 26 20 28 16 23 30 29 31 28 33 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-76,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,1182193,0,390,0,0,1.38481,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 1 -9 2 -10 0 -9 -1 -8 -1 -8 2 -8 3 -9 1 -8 -2 -7 -1 -4 -2 -4 -2 -2 -6 -1 -5 -2 -4 -2 -9 1 -7 1 -9 3 -9 0 -10 1 -12 1 -11 1 -11 0 -15 2 -19 2 -17 3 0 0 -20 2 -21 2 -18 0 -22 2 -18 5 -22 3 -25 3 -24 2 -24 5 -24 3 -26 5 -25 6 -25 5 -28 7 -29 7 -29 6 -31 8 -29 9 -32 9 -34 11 -34 11 -38 11 -39 12 -39 12 -41 11 -41 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-82,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,1206466,0,390,0,0,1.40076,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -4 -3 -2 -3 -5 -4 -4 -4 -4 -4 -2 -2 -2 -3 -2 -4 -1 -1 -5 -3 -2 -2 -1 0 -3 -3 -5 1 -4 -4 -4 0 -2 1 -4 2 -6 -1 -8 -1 -5 0 -6 -1 -3 2 -5 1 -8 0 -6 2 0 0 -7 1 -9 0 -9 1 -9 1 -10 -1 -10 0 -11 -2 -11 1 -9 1 -10 3 -10 5 -11 0 -10 1 -10 1 -13 4 -14 4 -13 1 -14 5 -13 3 -15 6 -15 4 -17 3 -17 -1 -19 1 -20 3 -18 3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 5 40 -1 45 6 40 5 47 -5 44 -5 43 -7 43 -11 42 -14 41 -14 38 -16 41 -16 43 -19 42 -17 38 -18 44 -19 38 -21 42 -20 37 -24 32 -21 39 -22 32 -26 39 -23 34 -26 31 -28 32 -27 35 -29 30 -28 30 -33 31 -31 31 -28 33 -33 29 -35 23 -33 26 -35 26 -34 18 -36 17 -36 16 -33 14 -35 13 -39 12 -35 9 -32 6 -31 4 -29 3 -31 4 -27 3 -30 3 -24 -1 -24 -1 -21 -3 -21 -2 -17 1 -19 -5 -17 -3 -13 1 -12 -9 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -5 -7 -6 -5 -8 -6 -7 -5 -8 -4 -5 -6 -5 -5 -5 -3 -5 -5 -5 -6 -4 -1 -2 -1 -8 -3 -7 -1 -6 -2 -6 2 -5 4 -7 4 -9 1 -9 0 -10 3 -12 0 -10 5 -11 2 -14 4 -12 3 -11 4 -13 5 -16 2 -16 5 -18 6 -16 2 -16 6 -16 2 -18 1 -15 5 -18 7 -20 8 -19 4 -20 4 -18 5 -22 10 -22 6 -22 5 -24 9 -24 6 -30 10 -26 9 -28 8 -31 4 -32 9 -36 9 -33 7 -36 8 -37 12 -35 8 -36 7 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-75,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,1208262,0,390,0,0,1.41211,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -10 -1 -12 -1 -9 -1 -11 -1 -9 -4 -7 -4 -9 -4 -7 -1 -7 -2 -9 -1 -6 1 -6 2 -4 1 -4 2 -5 2 -4 6 -4 3 -6 4 -4 9 -4 8 -4 7 -7 12 -6 10 -5 12 -7 14 -4 15 0 0 -6 16 -8 16 -5 18 -6 20 -8 17 -7 20 -9 22 -10 22 -7 22 -9 22 -8 26 -8 23 -8 27 -7 27 -10 27 -8 27 -8 32 -5 27 -8 32 -9 33 -8 35 -12 35 -11 39 -10 39 -13 40 -15 41 0 0 0 0 0 0 0 0 0 0 ]
