type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,0C:B8:15:C1:99:F8,-51,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,30664,0,30,0,0,0.22764,128,[30 -32 1 0 0 0 0 0 0 0 0 0 11 21 10 21 10 22 10 22 9 23 6 21 7 22 6 21 6 22 5 22 5 22 5 23 5 22 5 22 4 20 7 22 5 19 5 20 5 19 7 19 7 19 8 20 7 19 7 19 8 21 8 20 0 0 9 19 10 19 9 18 10 19 8 16 10 17 11 17 10 16 11 17 11 16 12 16 11 15 11 16 13 15 13 15 13 15 14 16 12 15 12 15 13 14 13 15 12 15 12 16 11 16 11 16 10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-60,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,73288,0,157,0,0,0.270106,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -18 -9 -18 -10 -18 -10 -18 -11 -17 -11 -17 -11 -16 -12 -17 -12 -16 -13 -16 -12 -16 -12 -16 -12 -16 -13 -16 -13 -16 -13 -14 -13 -15 -13 -14 -13 -14 -13 -13 -13 -14 -13 -14 -13 -13 -11 -14 -11 -14 -11 -14 -11 0 0 -14 -11 -14 -10 -14 -11 -13 -10 -14 -10 -13 -9 -14 -9 -14 -9 -14 -9 -15 -7 -14 -7 -15 -7 -16 -7 -16 -7 -15 -6 -16 -6 -15 -6 -16 -5 -16 -6 -16 -5 -16 -5 -16 -5 -16 -4 -16 -4 -16 -4 -16 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 25 -13 25 -13 26 -12 25 -10 25 -9 25 -11 23 -10 25 -8 22 -7 25 -8 25 -6 24 -5 25 -4 22 -4 24 -4 24 -2 25 -2 24 -1 24 -1 22 1 23 2 23 2 24 2 24 4 22 4 24 7 22 7 21 7 22 8 24 10 24 10 26 9 23 10 25 11 24 9 25 11 26 11 26 12 26 13 28 13 26 14 28 13 29 13 29 14 30 14 29 14 33 13 30 13 33 12 32 12 34 11 34 10 33 9 32 8 33 9 36 6 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 -25 -30 -27 -26 -27 -27 -29 -25 -27 -26 -30 -24 -30 -24 -30 -23 -32 -22 -29 -21 -29 -23 -30 -22 -31 -22 -32 -22 -33 -17 -30 -18 -31 -20 -29 -19 -31 -17 -32 -19 -29 -17 -31 -18 -27 -18 -27 -18 -28 -19 -27 -19 -27 -19 -28 -18 -25 -19 -27 -18 -24 -19 -25 -19 -24 -20 -24 -20 -23 -21 -24 -21 -20 -22 -21 -24 -20 -23 -20 -25 -21 -23 -19 -24 -20 -24 -18 -26 -20 -24 -20 -25 -17 -25 -18 -26 -19 -25 -17 -26 -17 -27 -17 -28 -16 -23 -15 -26 -16 -26 -17 -25 -14 0 0 ]
CSI_DATA,AP,08:6A:C5:82:D7:9B,-90,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,88809,0,130,0,0,0.28674,128,[-126 32 8 0 0 0 0 0 0 0 0 0 0 -12 2 -17 0 -13 1 -20 0 -14 0 -15 7 -22 -2 -10 -1 -13 3 -16 -1 -15 -5 -13 1 -22 7 -22 2 -20 2 -17 -3 -17 4 -9 1 -16 1 -13 -2 -10 6 -14 1 -6 -1 -15 -3 -13 0 -8 0 0 -4 -6 -5 -8 0 -6 -3 -7 0 -8 3 -9 -5 -9 -3 -4 -6 -5 -3 -3 -6 -1 -7 1 -8 8 -3 -4 -5 3 -9 -4 -1 -3 -10 -2 -7 4 -3 1 -7 1 -2 -3 -9 4 -6 2 -8 3 -6 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-59,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,119400,0,135,0,0,0.316046,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 14 -11 14 -12 14 -12 13 -12 13 -12 12 -13 12 -13 12 -13 12 -13 12 -14 11 -14 11 -14 10 -14 10 -14 10 -15 11 -14 10 -14 10 -13 10 -13 10 -13 9 -13 9 -14 10 -13 9 -13 9 -13 9 0 0 -12 9 -12 9 -11 9 -11 10 -10 10 -10 9 -10 10 -10 10 -10 10 -11 10 -10 11 -9 11 -9 11 -8 11 -9 12 -8 11 -8 12 -8 12 -8 12 -8 12 -8 12 -7 12 -7 12 -7 13 -8 12 -7 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 4 26 4 24 4 25 5 25 4 24 3 23 1 24 1 23 -1 23 0 23 0 22 0 23 -1 23 -2 23 -2 22 -3 21 -5 20 -7 21 -6 21 -7 22 -7 22 -8 20 -11 20 -10 20 -10 20 -11 22 -12 21 -13 21 -14 21 -13 21 -15 23 -14 21 -17 20 -16 24 -17 21 -17 22 -16 23 -19 23 -19 24 -18 26 -19 25 -19 25 -20 25 -21 26 -20 28 -20 27 -19 27 -21 28 -18 29 -17 30 -17 30 -16 29 -18 31 -16 30 -16 33 -13 32 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 29 -18 28 -18 28 -19 28 -20 28 -21 26 -22 26 -22 26 -23 24 -23 25 -23 24 -24 24 -24 24 -23 23 -23 23 -24 24 -23 22 -25 21 -23 23 -23 22 -23 22 -22 21 -24 20 -22 21 -21 20 -22 20 -22 20 -20 20 -19 21 -18 21 -19 21 -17 21 -17 21 -16 22 -16 22 -18 22 -17 22 -16 23 -14 23 -14 23 -13 24 -13 24 -13 25 -13 25 -12 25 -12 25 -12 25 -11 25 -10 25 -10 25 -9 26 -9 25 -10 24 -9 26 -7 26 -8 25 -7 26 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-60,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,275003,0,390,0,0,0.471735,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -3 18 -3 18 -4 18 -4 17 -5 17 -5 17 -6 17 -6 17 -7 16 -6 16 -8 16 -8 16 -7 16 -8 16 -7 16 -8 15 -8 15 -8 14 -7 14 -7 14 -7 14 -7 14 -7 13 -6 13 -7 14 -7 13 0 0 -6 13 -6 13 -5 13 -5 13 -4 13 -4 13 -4 14 -4 13 -4 14 -4 14 -4 14 -3 14 -2 14 -2 14 -2 13 -2 14 -1 14 -1 14 -1 14 -1 14 -1 14 -1 14 0 14 0 14 0 14 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 10 23 8 23 8 23 9 22 7 24 7 22 6 23 5 22 4 22 5 23 4 22 2 22 2 22 0 23 1 23 1 23 -1 22 -3 23 -3 22 -2 23 -3 22 -4 24 -8 22 -7 22 -8 23 -8 23 -7 24 -8 24 -8 25 -9 25 -10 25 -10 26 -11 26 -12 26 -12 27 -13 27 -13 27 -14 27 -14 28 -12 29 -12 29 -13 29 -13 30 -14 30 -14 31 -11 32 -13 31 -12 32 -11 33 -11 33 -10 33 -9 33 -11 33 -8 35 -8 35 -7 34 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 27 -24 25 -24 24 -26 24 -24 24 -26 23 -27 21 -26 21 -28 21 -28 21 -28 19 -28 18 -27 19 -29 19 -28 18 -27 16 -28 16 -27 16 -27 16 -26 16 -26 17 -26 17 -25 15 -24 17 -25 16 -24 16 -24 15 -24 16 -22 17 -22 17 -21 16 -22 17 -21 18 -21 18 -19 18 -20 19 -20 18 -20 20 -18 20 -18 21 -18 22 -18 20 -17 20 -16 22 -17 22 -17 22 -15 22 -15 22 -15 24 -15 23 -15 24 -14 23 -14 24 -14 22 -14 22 -13 24 -12 23 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-59,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,298765,0,390,0,0,0.495256,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -15 -12 -14 -13 -15 -14 -14 -14 -14 -15 -12 -14 -12 -14 -12 -15 -12 -14 -12 -16 -11 -15 -11 -15 -11 -16 -11 -16 -10 -15 -10 -15 -9 -14 -9 -15 -10 -15 -9 -14 -9 -14 -9 -14 -9 -14 -9 -13 -9 -14 -9 -13 0 0 -9 -13 -10 -13 -10 -12 -10 -12 -10 -11 -10 -11 -11 -11 -11 -11 -11 -10 -11 -11 -11 -10 -12 -10 -12 -10 -12 -10 -12 -9 -12 -9 -13 -9 -13 -9 -12 -8 -13 -8 -13 -8 -13 -8 -13 -8 -13 -7 -13 -7 -13 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 23 -6 26 -5 25 -5 24 -4 24 -3 23 -3 25 -2 24 -2 25 0 22 0 24 1 23 1 23 2 23 4 23 4 22 4 23 5 22 4 22 7 23 8 21 8 23 7 22 9 23 9 23 9 22 12 24 11 24 12 23 14 23 14 23 13 23 15 26 14 23 17 26 14 24 15 25 15 26 16 26 16 26 18 28 18 28 17 28 17 28 16 27 18 32 17 28 17 32 15 30 15 30 15 32 14 32 11 31 12 33 12 32 12 32 9 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -32 -17 -29 -16 -33 -19 -29 -19 -32 -21 -28 -20 -28 -22 -27 -23 -26 -23 -28 -25 -26 -24 -26 -24 -24 -25 -24 -24 -22 -23 -25 -24 -22 -21 -24 -24 -21 -22 -22 -23 -22 -23 -21 -23 -22 -23 -22 -23 -20 -21 -22 -21 -21 -20 -20 -19 -22 -20 -21 -18 -22 -19 -21 -17 -22 -19 -23 -16 -23 -17 -22 -16 -25 -16 -24 -14 -24 -15 -24 -14 -23 -13 -27 -13 -23 -13 -26 -13 -24 -11 -25 -12 -25 -12 -26 -11 -25 -11 -27 -11 -27 -10 -27 -9 -25 -9 -29 -9 -27 -9 -25 -8 -27 -9 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-59,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,323465,0,82,0,0,0.520055,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -12 -16 -12 -16 -11 -16 -11 -17 -11 -17 -9 -17 -9 -17 -9 -18 -8 -18 -9 -17 -8 -17 -7 -18 -7 -18 -7 -17 -7 -18 -6 -17 -6 -17 -6 -16 -7 -17 -7 -17 -7 -16 -6 -17 -6 -16 -7 -16 -7 -16 -6 -15 0 0 -7 -14 -7 -14 -7 -14 -8 -13 -8 -14 -8 -13 -9 -13 -9 -13 -9 -13 -9 -13 -9 -12 -10 -12 -10 -12 -10 -12 -10 -11 -10 -12 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -12 -11 -12 -10 -12 -10 -12 -10 -12 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -24 13 -24 14 -23 16 -21 14 -20 14 -21 16 -20 16 -20 17 -18 16 -18 16 -18 17 -18 17 -16 18 -16 18 -15 20 -14 19 -14 22 -13 21 -13 22 -12 21 -13 21 -12 22 -11 23 -11 23 -11 23 -11 25 -9 24 -8 27 -8 26 -9 28 -6 27 -7 28 -8 29 -9 29 -8 29 -8 30 -8 31 -8 31 -7 31 -7 31 -7 32 -7 32 -8 33 -8 34 -10 34 -10 33 -9 33 -11 34 -11 35 -13 34 -13 35 -13 32 -13 34 -14 32 -18 32 -18 37 -14 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -35 -9 -35 -7 -36 -6 -37 -6 -37 -4 -37 -3 -36 -2 -35 -1 -35 -2 -35 0 -36 0 -36 0 -36 1 -35 2 -37 2 -31 2 -33 2 -32 2 -34 3 -33 2 -32 3 -32 1 -31 0 -32 0 -30 0 -30 -1 -30 0 -30 -1 -29 -2 -31 -2 -28 -2 -30 -3 -29 -3 -29 -4 -29 -4 -28 -5 -27 -7 -28 -8 -28 -7 -29 -8 -29 -8 -27 -8 -28 -9 -28 -10 -28 -9 -28 -9 -27 -11 -27 -11 -26 -10 -26 -13 -25 -12 -25 -13 -27 -12 -25 -14 -26 -15 -25 -14 -25 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-63,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,781054,0,82,0,0,0.977639,384,[82 -96 4 0 0 0 0 0 0 0 0 0 17 4 17 5 18 5 17 6 18 6 17 6 17 7 17 7 17 7 17 9 16 9 15 9 16 10 16 9 16 9 15 9 15 9 15 10 15 10 15 9 14 9 14 9 14 8 14 9 14 8 14 8 0 0 13 7 14 7 13 6 14 6 14 6 14 5 15 5 14 5 15 4 15 4 15 4 15 4 15 4 15 3 16 3 15 3 17 3 16 2 16 3 16 1 16 2 16 1 17 2 17 2 16 2 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -30 7 -31 6 -29 6 -31 5 -30 3 -28 4 -30 4 -27 3 -28 2 -25 1 -27 0 -27 0 -27 -2 -26 -2 -26 -4 -26 -3 -27 -6 -25 -6 -24 -7 -25 -7 -25 -8 -26 -9 -26 -9 -25 -9 -26 -10 -26 -12 -28 -13 -25 -13 -25 -15 -27 -15 -26 -14 -27 -14 -28 -13 -26 -17 -29 -14 -27 -15 -28 -16 -27 -16 -29 -16 -29 -18 -29 -19 -28 -17 -28 -14 -28 -15 -27 -17 -31 -17 -29 -16 -32 -15 -30 -16 -31 -14 -31 -15 -32 -12 -29 -12 -31 -12 -30 -14 -31 -12 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 15 30 16 31 18 28 19 31 20 30 18 29 21 29 20 28 22 30 21 27 23 28 24 28 24 25 24 24 23 26 24 23 24 24 24 23 22 23 25 24 23 23 24 24 22 23 22 22 22 24 21 22 19 23 18 24 19 21 18 23 19 25 17 24 17 24 16 25 16 26 15 27 15 28 14 27 14 27 13 26 12 29 14 28 11 29 14 29 10 30 12 29 11 29 10 31 11 31 12 29 9 30 9 29 8 33 9 31 9 30 10 32 9 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-53,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,783776,0,82,0,0,0.988875,128,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -16 16 -14 18 -14 21 -18 20 -16 18 -12 19 -15 17 -8 18 -12 23 -10 22 -11 20 -13 20 -9 19 -12 19 -9 21 -14 17 -11 19 -9 18 -9 17 -9 18 -9 18 -9 17 -8 17 -10 18 -13 16 -10 0 0 16 -12 16 -13 14 -13 16 -13 16 -13 14 -13 15 -14 14 -14 14 -16 14 -13 13 -16 13 -13 14 -13 13 -15 15 -16 15 -13 12 -13 14 -17 14 -16 14 -16 13 -18 13 -14 10 -16 14 -11 12 -19 13 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-53,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,793190,0,82,0,0,0.994491,128,[82 -96 4 0 0 0 0 0 0 0 0 0 12 18 11 18 12 19 12 19 11 20 9 18 10 19 8 19 9 20 8 20 9 21 9 22 8 21 7 20 6 20 8 22 5 20 5 20 5 19 5 19 5 19 6 20 4 18 6 18 7 19 7 18 0 0 8 18 8 18 8 17 9 18 8 16 9 17 9 17 9 16 10 17 9 16 11 17 10 15 11 16 11 16 11 16 11 16 13 17 11 16 11 16 12 15 12 15 12 16 13 16 13 15 12 15 12 15 0 0 0 0 0 0 0 0 0 0 ]
