type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,0C:B8:15:C1:99:F8,-70,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,32731,0,30,0,0,0.226498,128,[30 -32 1 0 0 0 0 0 0 0 0 0 1 -14 1 -13 2 -14 2 -15 2 -14 1 -12 1 -15 1 -14 0 -15 1 -14 0 -16 -1 -16 0 -15 0 -18 0 -15 -4 -18 -1 -16 -2 -17 -2 -15 -4 -17 -5 -16 -4 -18 -5 -18 -5 -16 -7 -19 -6 -18 0 0 -9 -17 -13 -18 -12 -17 -13 -19 -12 -17 -14 -18 -17 -19 -16 -17 -17 -19 -18 -20 -20 -18 -19 -17 -19 -20 -21 -20 -23 -21 -23 -20 -26 -24 -22 -20 -24 -22 -25 -21 -25 -25 -23 -25 -25 -27 -23 -29 -21 -30 -20 -28 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-76,11,1,4,1,1,1,0,0,0,0,-95,0,1,1,74054,0,157,0,0,0.26769,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 7 3 7 4 6 5 8 4 7 7 7 4 7 3 7 4 7 4 6 6 7 5 7 5 6 5 8 6 7 6 9 5 9 4 9 5 8 4 8 5 8 5 9 6 8 5 9 4 10 6 10 5 0 0 11 3 11 2 11 1 11 2 11 2 12 3 15 3 14 2 15 2 15 2 15 -1 15 2 15 1 15 2 17 2 16 2 18 2 20 2 18 0 19 1 20 3 20 1 22 5 22 4 20 5 21 4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 17 -42 17 -38 13 -35 15 -38 16 -35 15 -32 16 -32 17 -30 15 -28 14 -27 12 -27 13 -26 9 -23 8 -20 9 -23 5 -23 5 -23 2 -21 1 -18 -4 -21 -5 -18 -6 -21 -6 -21 -8 -21 -9 -20 -10 -24 -11 -24 -15 -23 -14 -27 -19 -29 -17 -28 -18 -30 -17 -33 -18 -33 -20 -34 -17 -37 -16 -39 -16 -41 -16 -43 -13 -42 -15 -47 -14 -46 -11 -47 -9 -48 -5 -48 -4 -52 -2 -45 1 -51 6 -52 8 -48 10 -46 13 -45 19 -46 21 -41 21 -44 23 -36 26 -35 -1 -1 0 0 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 12 6 12 6 14 8 15 6 13 9 13 8 12 5 17 4 13 8 14 8 16 7 16 8 15 10 14 6 15 10 16 8 20 7 19 8 17 9 17 8 17 12 17 8 18 8 17 7 20 9 22 5 17 3 20 6 21 4 21 2 21 1 23 2 25 6 24 3 27 4 27 4 27 0 29 -2 28 3 31 3 32 2 33 -1 32 1 34 3 36 3 35 3 35 3 38 2 37 5 40 5 44 6 38 6 40 8 42 9 46 5 43 15 44 14 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-68,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,101615,0,135,0,0,0.295281,128,[-121 112 8 0 0 0 0 0 0 0 0 0 6 10 4 9 6 12 7 10 6 12 6 12 6 12 7 12 7 12 8 11 7 10 7 13 9 12 8 12 7 12 11 13 8 12 9 13 8 13 7 12 9 11 10 13 8 11 9 12 11 14 10 12 0 0 13 10 14 11 14 10 17 11 13 10 17 11 18 10 18 10 21 11 20 11 22 11 19 12 22 12 22 13 24 13 22 12 27 15 24 13 25 15 26 14 26 16 27 15 29 18 29 18 28 20 26 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-75,11,1,4,1,1,1,0,0,0,0,-95,0,1,1,110071,0,390,0,0,0.303465,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 1 -9 1 -7 0 -8 -1 -7 1 -8 3 -7 2 -8 1 -8 3 -9 2 -9 2 -9 2 -9 2 -10 0 -10 2 -9 3 -10 4 -10 3 -9 2 -10 2 -9 2 -9 1 -10 3 -10 1 -10 0 -10 0 -10 0 0 1 -10 1 -10 0 -11 0 -12 0 -12 -2 -12 1 -12 0 -13 -1 -15 -1 -15 -3 -15 1 -15 -2 -16 -1 -16 -1 -17 -2 -15 -2 -17 -1 -19 0 -19 0 -18 2 -19 0 -19 2 -20 0 -22 2 -21 2 -22 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -35 -12 -37 -11 -41 -17 -34 -17 -30 -17 -29 -14 -30 -14 -28 -16 -25 -13 -24 -15 -24 -14 -22 -12 -20 -10 -20 -6 -21 -9 -18 -5 -17 -4 -17 -1 -17 1 -20 -2 -19 2 -18 2 -19 6 -20 8 -20 7 -21 9 -22 11 -21 13 -25 16 -26 13 -24 17 -27 13 -31 14 -28 15 -32 12 -34 15 -34 14 -38 12 -37 14 -41 9 -40 8 -43 10 -42 8 -43 6 -43 3 -47 1 -48 -3 -45 -4 -43 -10 -42 -13 -43 -12 -42 -16 -38 -19 -35 -22 -36 -21 -33 -25 -30 -26 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -14 3 -14 2 -14 3 -12 3 -15 6 -13 6 -13 7 -12 6 -14 1 -16 5 -17 3 -17 6 -17 3 -17 5 -18 6 -17 6 -17 8 -16 4 -17 5 -17 7 -18 3 -19 6 -18 3 -19 4 -19 4 -18 4 -19 3 -17 3 -20 2 -20 3 -21 2 -23 -1 -23 1 -24 -1 -26 1 -26 2 -25 -1 -27 2 -30 -2 -31 -1 -29 0 -30 0 -33 1 -33 0 -32 1 -33 2 -36 2 -36 3 -34 5 -36 2 -36 4 -38 8 -38 12 -38 4 -39 7 -42 13 -38 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-76,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,137308,0,390,0,0,0.330805,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 3 8 0 8 1 8 3 7 3 7 3 6 3 6 2 6 1 8 3 7 3 10 4 9 3 9 4 7 5 7 3 7 3 7 3 8 4 7 4 9 4 8 3 8 2 8 3 9 4 8 2 0 0 10 3 10 2 11 1 10 2 9 2 11 2 12 3 11 2 12 2 12 0 12 1 14 1 15 2 16 1 14 2 15 2 18 4 16 2 15 3 15 1 16 4 17 4 18 5 19 5 18 6 18 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 30 -24 27 -25 28 -26 26 -19 23 -22 23 -21 23 -20 24 -19 20 -16 19 -16 18 -18 18 -15 13 -14 14 -14 10 -14 11 -15 9 -16 8 -14 6 -15 6 -15 5 -19 2 -19 2 -19 1 -18 2 -21 2 -23 -3 -22 -2 -24 0 -27 -4 -28 0 -28 -2 -31 3 -30 -1 -35 0 -32 3 -33 3 -38 3 -38 2 -37 7 -40 8 -36 10 -39 13 -40 14 -40 16 -40 18 -38 23 -36 22 -38 26 -33 28 -32 30 -30 33 -27 34 -24 36 -24 35 -19 37 -15 37 -12 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 0 11 8 12 6 11 6 12 9 8 9 10 9 10 6 11 8 10 6 12 11 13 9 15 9 14 9 12 9 13 11 12 10 13 10 10 8 12 10 12 10 14 11 12 10 13 8 14 10 13 10 16 8 12 9 16 6 15 12 18 9 17 7 17 10 19 9 21 9 18 9 21 9 19 5 23 8 24 10 25 10 27 8 25 10 24 10 29 11 27 11 28 11 29 10 30 11 30 18 30 14 33 16 30 16 31 19 28 23 32 24 32 27 27 25 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-77,11,1,5,1,1,1,0,0,0,0,-95,0,1,1,160502,0,82,0,0,0.353776,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 0 10 -1 9 1 6 -1 8 -1 7 1 8 -1 6 -3 9 1 10 0 10 0 9 -1 8 1 10 1 9 1 10 -2 9 0 11 0 10 1 8 0 9 -1 10 -1 9 0 9 -1 11 -2 11 -1 0 0 9 -2 9 -3 9 -2 11 -3 12 -3 12 -3 13 -4 13 -3 12 -5 14 -5 14 -7 15 -5 15 -5 14 -4 16 -7 17 -6 18 -6 17 -6 19 -6 18 -6 17 -6 21 -7 21 -6 21 -6 21 -5 19 -6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -12 -35 -11 -37 -8 -38 -9 -36 -2 -36 -5 -35 -4 -33 0 -31 0 -31 1 -30 -4 -28 0 -27 -2 -23 -4 -23 -6 -21 -6 -18 -7 -15 -7 -16 -7 -14 -11 -18 -12 -11 -13 -15 -16 -16 -17 -14 -18 -12 -18 -13 -21 -13 -23 -16 -25 -17 -27 -15 -32 -11 -26 -20 -28 -19 -26 -18 -32 -20 -32 -22 -30 -26 -35 -27 -34 -28 -31 -30 -33 -31 -33 -33 -30 -34 -28 -33 -27 -38 -28 -41 -21 -40 -22 -43 -17 -44 -17 -45 -11 -44 -8 -46 -6 -46 -1 -45 1 -43 6 -45 5 -39 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14 -2 17 -1 16 1 15 -5 16 -3 13 0 13 -3 17 -3 16 -1 17 -1 18 -3 16 -5 14 -4 18 -2 16 -1 20 -7 17 -2 20 -2 18 -1 18 -3 16 -4 18 -3 17 -2 18 -5 19 -4 19 -5 21 -6 18 -5 17 -6 18 -8 20 -7 22 -9 21 -7 22 -9 22 -11 22 -13 26 -10 24 -14 26 -12 26 -15 27 -12 28 -15 28 -15 30 -17 30 -17 31 -15 33 -16 33 -16 34 -14 36 -14 36 -15 38 -14 37 -14 40 -20 39 -20 39 -19 32 -21 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-77,11,1,5,1,1,1,0,0,0,0,-95,0,1,1,273285,0,82,0,0,0.466673,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 -8 4 -8 4 -7 3 -6 3 -6 4 -6 4 -6 4 -8 3 -7 2 -8 5 -7 4 -7 4 -10 5 -8 3 -6 5 -10 5 -8 6 -8 3 -8 6 -9 4 -6 4 -8 5 -6 4 -9 5 -10 4 -8 0 0 4 -9 4 -9 3 -9 3 -11 2 -12 3 -12 3 -12 4 -13 2 -13 3 -14 2 -15 5 -13 3 -15 2 -16 4 -17 2 -15 4 -17 4 -17 5 -17 3 -18 5 -18 5 -17 7 -20 4 -20 6 -18 6 -20 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -24 -23 -27 -26 -28 -22 -26 -31 -24 -25 -21 -23 -24 -24 -21 -22 -19 -19 -19 -17 -15 -20 -17 -19 -17 -18 -18 -10 -18 -14 -16 -14 -15 -8 -16 -7 -15 -6 -17 -7 -19 -5 -18 0 -19 -1 -20 3 -21 3 -21 2 -25 3 -27 2 -25 5 -29 5 -32 2 -29 3 -32 7 -31 6 -33 2 -33 3 -36 2 -38 0 -39 1 -40 -1 -41 -4 -42 -3 -38 -7 -39 -6 -38 -11 -43 -13 -40 -15 -45 -20 -40 -18 -38 -20 -39 -25 -38 -26 -30 -26 -27 -32 -28 -30 -24 -35 -22 -34 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -14 9 -11 7 -10 9 -10 6 -8 9 -11 7 -12 11 -12 8 -11 9 -12 12 -13 11 -12 11 -15 8 -13 10 -11 11 -14 10 -12 14 -13 11 -13 13 -17 12 -13 10 -14 11 -13 11 -16 11 -15 10 -13 13 -13 10 -16 8 -16 6 -16 7 -18 6 -20 8 -20 8 -22 10 -22 8 -22 10 -26 10 -26 9 -23 7 -25 9 -29 11 -32 9 -27 10 -29 11 -31 12 -29 12 -30 13 -35 12 -33 14 -33 12 -35 16 -32 16 -36 25 -29 20 -35 24 -33 20 -30 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-76,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,274383,0,82,0,0,0.478443,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 7 -7 5 -5 5 -6 5 -5 6 -8 6 -5 5 -6 6 -8 5 -6 5 -7 6 -7 7 -7 7 -8 6 -7 6 -7 7 -7 8 -7 6 -6 7 -7 7 -5 7 -8 7 -9 5 -7 8 -7 8 -8 8 0 0 -6 9 -5 9 -6 10 -5 9 -5 10 -6 10 -5 12 -5 11 -6 12 -5 13 -5 13 -4 12 -6 14 -5 13 -6 15 -6 16 -4 15 -5 17 -6 15 -5 16 -7 17 -7 16 -6 19 -6 18 -10 20 -8 19 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 14 37 14 36 15 32 10 34 17 23 16 21 15 24 15 24 16 20 13 20 10 18 16 19 10 15 10 15 14 14 11 10 16 9 14 7 14 9 12 7 15 6 15 3 20 1 16 5 17 2 21 -1 19 2 23 -3 24 -4 25 -4 24 10 27 -4 28 -1 30 -1 28 0 33 -1 35 1 34 4 37 2 35 8 35 4 36 6 38 7 36 9 39 12 34 14 37 21 33 19 32 23 33 23 27 27 32 29 24 27 25 27 19 29 20 8 16 36 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -13 8 -13 9 -11 5 -14 9 -10 10 -12 10 -10 7 -13 7 -13 6 -11 8 -13 8 -15 9 -16 10 -14 9 -14 11 -15 7 -16 13 -13 6 -15 12 -14 12 -12 8 -17 10 -16 10 -13 11 -12 11 -14 12 -16 10 -12 13 -14 13 -16 15 -11 13 -14 15 -14 17 -12 20 -13 18 -13 20 -13 20 -13 22 -14 23 -15 22 -12 25 -17 24 -19 26 -15 26 -16 24 -17 23 -18 25 -18 27 -21 26 -18 30 -19 29 -20 29 -23 27 -34 18 -27 26 -41 16 -32 19 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-76,11,1,3,1,1,1,0,0,0,0,-95,0,1,1,773648,0,82,0,0,0.967043,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 6 -7 5 -5 7 -5 6 -4 7 -6 5 -6 7 -6 5 -5 5 -4 7 -5 5 -6 7 -4 8 -5 8 -6 7 -7 8 -5 7 -7 7 -4 9 -5 8 -5 7 -4 8 -6 7 -3 8 -4 10 -5 8 0 0 -5 9 -4 11 -3 10 -4 10 -3 11 -3 11 -3 11 -2 11 -2 14 -3 13 -4 14 -3 15 -2 14 -1 16 -3 15 -2 16 -3 18 -2 18 -4 16 -3 17 -6 17 -6 20 -4 19 -2 20 -7 20 -7 21 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 25 25 31 27 27 25 25 29 25 21 23 21 22 16 22 20 23 16 20 15 18 13 17 17 16 14 18 9 15 11 17 10 18 5 15 2 17 2 19 1 18 2 18 -1 20 -5 17 -4 20 -5 20 -8 22 -8 25 -10 25 -10 27 -11 25 -8 26 -11 29 -12 28 -14 31 -11 35 -10 40 -11 38 -10 40 -10 39 -7 42 -3 42 -5 40 -2 43 -1 43 1 45 3 42 6 45 6 40 10 40 13 42 17 37 19 34 20 36 22 34 23 31 28 24 28 -1 -1 0 0 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -10 9 -14 7 -10 11 -9 9 -9 11 -11 10 -13 10 -11 10 -12 10 -10 10 -13 9 -13 11 -9 13 -12 12 -13 13 -13 14 -12 11 -13 12 -11 12 -14 13 -14 13 -10 14 -13 10 -10 16 -11 15 -13 17 -13 12 -9 16 -11 17 -9 18 -10 17 -9 21 -8 21 -9 20 -9 21 -7 22 -10 26 -8 24 -10 26 -6 27 -8 28 -12 28 -10 28 -12 34 -9 28 -11 31 -9 32 -13 29 -13 34 -12 36 -12 37 -12 35 -16 31 -25 33 -25 34 -21 30 -23 30 -1 -1 ]
CSI_DATA,AP,0C:B8:15:C1:99:F8,-69,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,1045120,0,82,0,0,1.2387,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -2 -7 -3 -6 -3 -8 -3 -8 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -3 -8 -4 -8 -4 -8 -4 -9 -4 -9 -3 -8 -4 -9 -3 -9 -3 -8 -4 -8 -4 -8 -4 -9 -4 -9 -3 -9 -5 -8 -6 -10 -5 -8 0 0 -7 -9 -7 -8 -7 -8 -8 -8 -8 -8 -9 -8 -9 -9 -9 -9 -11 -9 -10 -10 -11 -9 -10 -10 -11 -9 -12 -11 -12 -10 -13 -10 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -14 -14 -14 -14 -14 -14 -13 -15 -13 -15 0 0 0 0 0 0 0 0 0 0 ]
