type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,0C:B8:15:C1:B6:35,-57,11,0,0,0,0,0,0,0,0,0,-94,0,1,1,18175,0,34,0,0,0.207936,128,[34 32 2 0 0 0 0 0 0 0 0 0 23 11 22 12 23 12 23 13 22 13 19 13 20 14 18 15 19 14 19 15 21 15 21 15 20 15 19 14 17 14 21 15 17 14 18 14 18 14 18 14 16 14 18 14 15 13 18 12 19 13 18 13 0 0 17 12 18 11 17 11 17 10 15 10 16 10 16 10 14 9 15 8 14 9 15 8 13 7 13 6 13 6 13 6 12 5 13 5 12 4 11 4 11 3 10 3 10 2 10 2 10 0 9 0 8 0 0 0 0 0 0 0 0 0 0 0 ],1666688741.9326253
CSI_DATA,STA,0C:B8:15:C1:B6:35,-57,11,0,0,0,0,0,0,0,0,0,-94,0,1,1,30635,0,131,0,0,0.219978,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -3 25 -4 25 -4 27 -5 27 -5 26 -7 24 -6 24 -8 23 -7 24 -9 23 -8 25 -9 25 -8 24 -7 24 -7 22 -7 26 -8 22 -8 22 -8 22 -7 22 -7 21 -8 22 -8 19 -7 21 -7 23 -7 21 0 0 -6 21 -6 21 -5 20 -5 19 -5 18 -4 19 -4 19 -5 17 -3 17 -5 17 -4 17 -3 15 -3 15 -2 15 -2 14 -2 14 -1 14 -1 13 -1 12 0 11 0 11 0 11 1 10 1 10 2 9 2 8 0 0 0 0 0 0 0 0 0 0 ],1666688741.9416127
CSI_DATA,STA,0C:B8:15:C1:B6:35,-57,11,0,0,0,0,0,0,0,0,0,-93,0,1,1,4034769,0,30,0,0,4.22415,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -26 -5 -26 -6 -27 -6 -28 -7 -26 -8 -23 -9 -24 -10 -22 -11 -23 -10 -22 -10 -24 -10 -25 -11 -23 -11 -22 -10 -21 -9 -26 -9 -20 -9 -20 -8 -21 -8 -22 -8 -21 -8 -23 -8 -20 -8 -22 -8 -24 -8 -22 -9 0 0 -21 -7 -23 -5 -22 -5 -21 -5 -19 -5 -20 -5 -20 -5 -17 -5 -18 -3 -17 -3 -18 -2 -15 -2 -15 -1 -15 -1 -14 0 -15 1 -14 1 -14 1 -12 1 -12 1 -12 1 -11 2 -11 2 -11 3 -10 2 -10 2 0 0 0 0 0 0 0 0 0 0 ],1666688745.946618
CSI_DATA,STA,E8:65:49:04:93:11,-77,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4050928,0,218,0,0,4.24062,128,[-38 -96 13 0 -20 15 -21 17 -18 16 -22 19 -18 16 -19 17 -19 13 -14 9 -9 8 -6 6 -1 7 3 5 7 -1 11 1 19 0 23 2 26 2 29 5 28 9 27 14 24 16 19 16 15 17 9 12 7 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -3 7 -5 4 -4 4 -5 2 -7 -2 -10 -4 -8 -7 -9 -10 -8 -10 -12 -17 -12 -20 -11 -23 -14 -25 -13 -30 -16 -27 -18 -30 -18 -31 -20 -30 -21 -31 -18 -26 -16 -22 -18 -22 -12 -20 -10 -19 -1 -20 1 ],1666688745.9618587
CSI_DATA,STA,E8:65:49:04:93:13,-77,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4075505,0,229,0,0,4.26453,128,[-27 80 14 0 10 25 8 25 7 25 10 26 8 22 7 20 8 20 8 13 7 14 3 8 2 1 2 -4 4 -8 6 -13 4 -18 8 -19 12 -23 17 -25 19 -23 22 -21 22 -18 22 -15 19 -9 17 -6 10 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -9 -2 -8 -4 -6 -4 -7 -5 -4 -8 -2 -8 2 -9 4 -10 5 -15 8 -17 9 -17 12 -20 17 -23 17 -22 20 -27 23 -27 22 -29 24 -27 23 -28 19 -26 20 -22 17 -18 18 -14 16 -10 17 -3 22 ],1666688745.9841127
CSI_DATA,STA,E8:65:49:04:93:14,-77,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4118514,0,238,0,0,4.30766,128,[-18 -32 14 0 12 16 16 16 15 16 15 19 18 17 14 14 13 11 11 15 9 8 5 4 7 -2 4 -1 1 -6 1 -11 -1 -16 2 -20 4 -25 6 -25 6 -27 12 -25 12 -25 14 -20 15 -15 12 -9 9 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -9 -4 -9 -5 -4 -6 -4 -8 -2 -6 1 -7 4 -6 7 -9 8 -9 9 -9 13 -9 17 -12 19 -13 22 -13 24 -14 26 -15 27 -19 27 -16 28 -16 26 -12 25 -12 23 -10 19 -4 20 -3 17 1 17 ],1666688746.0294774
CSI_DATA,STA,E8:65:49:04:93:11,-77,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4155379,0,218,0,0,4.34439,128,[-38 -96 13 0 -18 16 -20 19 -19 18 -18 16 -18 15 -19 15 -15 13 -13 12 -10 8 -4 7 -3 4 3 -1 7 2 11 1 17 1 20 3 22 4 24 5 25 9 23 13 20 15 17 16 13 15 9 11 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -5 5 -6 4 -5 3 -4 1 -6 -4 -8 -5 -9 -7 -7 -11 -8 -12 -9 -19 -7 -18 -5 -20 -9 -24 -9 -28 -10 -29 -11 -29 -10 -31 -13 -30 -14 -27 -14 -26 -14 -23 -11 -22 -8 -19 -6 -17 0 -17 4 ],1666688746.0656395
CSI_DATA,STA,E8:65:49:22:83:02,-87,10,0,0,0,0,0,0,0,0,0,-94,0,6,0,4663411,0,223,0,0,4.85282,128,[-33 -16 13 0 5 29 6 29 6 34 9 37 -2 31 3 33 0 26 -4 19 -5 15 -1 6 6 14 5 15 13 -2 13 1 20 1 22 0 27 0 25 3 21 -2 23 0 15 4 11 -4 9 2 -1 -6 -3 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -15 3 -22 3 -18 4 -23 8 -18 9 -20 13 -15 10 -13 16 -13 12 -10 7 -11 5 -6 1 -11 -10 -9 -5 -10 -11 -15 -16 -3 -8 -9 -12 -9 -5 -2 -5 -9 -11 -8 -3 5 5 4 14 12 8 13 ],1666688746.5762422
CSI_DATA,STA,E8:65:49:22:83:01,-87,10,0,0,0,0,0,0,0,0,0,-94,0,6,0,4687988,0,218,0,0,4.87699,128,[-38 -96 13 0 7 -29 6 -28 4 -33 3 -40 11 -38 10 -35 5 -29 8 -23 8 -16 2 -21 -1 -14 -9 -8 -18 -6 -16 -6 -16 -1 -26 -14 -26 -5 -21 -10 -24 -12 -15 -18 -10 -12 -7 -4 -2 -8 0 2 -3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12 -4 15 -8 12 -6 18 -13 15 -14 18 -11 12 -18 9 -19 8 -18 9 -7 14 -2 5 -1 10 3 8 4 14 5 7 11 12 2 9 5 13 6 8 1 8 5 9 7 -2 -1 -6 3 -8 -10 -17 ],1666688746.6002862
CSI_DATA,STA,E4:AA:5D:19:8C:B4,-90,10,0,0,0,0,0,0,0,0,0,-94,0,6,0,4710875,0,238,0,0,4.89988,128,[-18 -32 14 0 21 2 17 7 21 -1 16 -2 9 4 7 5 9 1 3 7 4 8 -4 7 -11 -1 -10 4 -16 1 -16 9 -15 5 -11 0 -12 -2 -5 -2 -9 -1 -6 -4 -3 -5 -1 -1 6 -9 5 -9 -1 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -13 -11 -20 -10 -24 -7 -12 -1 -17 -6 -18 -3 -10 -2 -15 5 -10 4 -10 7 0 5 11 6 7 7 11 11 7 18 10 19 21 16 17 16 2 18 8 25 1 23 1 29 6 25 6 32 1 31 -6 ],1666688746.6214952
