type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,0C:B8:15:C1:B6:35,-75,11,0,0,0,0,0,0,0,0,0,-94,0,9,2,37076,0,34,0,0,0.226268,128,[34 32 2 0 0 0 0 0 0 0 0 0 16 -4 15 -4 15 -4 15 -2 14 -3 13 0 12 1 14 -3 11 -3 10 -1 11 -1 12 -5 9 -4 8 -1 8 -5 6 -5 6 -6 5 -5 9 -6 4 -6 8 -9 2 -11 5 -8 7 -12 3 -14 6 -17 0 0 6 -16 6 -17 5 -16 6 -18 7 -16 6 -20 5 -21 3 -19 5 -19 5 -19 0 -21 1 -21 3 -20 -1 -24 -1 -25 -1 -24 -3 -30 -3 -34 -4 -29 -3 -35 -5 -37 -3 -42 -2 -40 -5 -42 2 -43 4 -49 0 0 0 0 0 0 0 0 0 0 ],1666684173.0508733
CSI_DATA,STA,0C:B8:15:C1:B6:35,-76,11,0,0,0,0,0,0,0,0,0,-94,0,9,2,50707,0,131,0,0,0.239213,128,[-125 48 8 0 0 0 0 0 0 0 0 0 1 16 1 14 -2 14 0 14 -1 12 -2 10 -4 13 0 9 -3 10 0 11 -3 9 -1 8 1 7 0 9 2 8 2 9 2 6 4 7 3 6 4 6 6 4 7 3 8 6 10 5 9 5 10 4 0 0 13 6 14 7 15 6 16 4 14 5 15 5 19 6 15 6 17 3 15 3 19 2 18 3 19 2 19 -1 22 -2 23 -4 26 -5 24 -3 28 -6 29 -4 31 -6 33 -5 37 -4 38 -3 41 -1 43 1 0 0 0 0 0 0 0 0 0 0 ],1666684173.0579085
CSI_DATA,STA,0C:B8:15:C1:B6:35,-76,11,0,0,0,0,0,0,0,0,0,-94,0,9,2,51045,0,131,0,0,0.243433,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -8 -14 -9 -11 -8 -12 -9 -12 -8 -13 -6 -13 -4 -12 -7 -10 -8 -10 -5 -9 -5 -7 -8 -8 -6 -7 -5 -9 -6 -6 -8 -5 -7 -3 -7 -6 -8 -1 -7 1 -8 -1 -11 1 -11 -2 -10 1 -13 3 -13 5 0 0 -14 3 -14 7 -14 4 -17 7 -15 7 -16 6 -18 8 -18 7 -18 9 -15 10 -16 13 -14 10 -15 11 -10 13 -12 18 -13 20 -15 23 -16 24 -15 24 -18 23 -18 24 -19 30 -21 30 -23 30 -28 32 -30 28 0 0 0 0 0 0 0 0 0 0 ],1666684173.0788372
CSI_DATA,STA,0C:B8:15:C1:B6:35,-75,11,0,0,0,0,0,0,0,0,0,-93,0,9,2,4054320,0,30,0,0,4.24285,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -15 17 -12 15 -18 17 -19 15 -14 15 -14 12 -18 12 -16 9 -16 10 -20 10 -17 11 -19 10 -18 10 -15 12 -17 8 -17 15 -15 12 -15 12 -18 14 -16 13 -16 12 -16 17 -17 15 -18 13 -19 17 -21 17 0 0 -19 15 -19 19 -17 19 -20 17 -20 15 -18 15 -19 13 -17 10 -17 13 -18 11 -15 14 -13 10 -15 10 -12 12 -8 11 -7 16 -6 19 -6 15 -2 17 -3 17 -4 18 -4 21 -4 23 -5 25 -6 26 -9 24 0 0 0 0 0 0 0 0 0 0 ],1666684176.883889
CSI_DATA,STA,E8:65:49:04:93:14,-72,10,0,0,0,0,0,0,0,0,0,-94,0,1,0,4194212,0,238,0,0,4.38307,128,[-18 -32 14 0 -19 -9 -20 -8 -24 -7 -26 -6 -27 -6 -29 -7 -29 -6 -28 -6 -28 -9 -30 -9 -29 -10 -27 -7 -26 -7 -24 -9 -23 -7 -22 -6 -19 -5 -19 -5 -19 -4 -16 -4 -14 -3 -15 -2 -13 -1 -11 0 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -15 -4 -17 -4 -20 -3 -23 0 -27 -1 -29 3 -31 6 -31 8 -31 11 -31 14 -28 12 -25 13 -24 10 -19 7 -17 4 -15 1 -15 -3 -14 -6 -15 -8 -15 -10 -16 -10 -17 -12 -17 -10 -17 -12 -17 -13 -15 ],1666684177.0148013
CSI_DATA,STA,E8:65:49:04:93:12,-72,10,0,0,0,0,0,0,0,0,0,-94,0,1,0,4206500,0,223,0,0,4.39466,128,[-33 -16 13 0 -14 12 -12 13 -11 17 -12 18 -11 19 -11 21 -13 20 -12 22 -12 21 -13 20 -12 21 -14 21 -12 18 -12 18 -11 16 -11 16 -10 14 -8 15 -8 11 -6 11 -6 9 -5 10 -5 7 -2 7 -2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -3 -15 -3 -17 -2 -20 -5 -22 -9 -24 -11 -24 -12 -24 -14 -24 -17 -22 -18 -21 -19 -18 -19 -15 -18 -12 -16 -11 -13 -12 -9 -12 -6 -12 -2 -14 0 -16 1 -16 1 -17 2 -18 5 -18 5 -16 5 -15 7 ],1666684177.0307944
CSI_DATA,STA,E8:65:49:04:93:11,-72,10,0,0,0,0,0,0,0,0,0,-94,0,1,0,4231077,0,218,0,0,4.41922,128,[-38 -96 13 0 12 -12 12 -14 12 -18 14 -20 14 -21 15 -21 14 -23 17 -24 16 -23 15 -22 17 -22 15 -20 13 -20 16 -18 14 -19 14 -16 12 -16 10 -15 11 -13 8 -13 8 -10 6 -9 5 -9 4 -7 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 4 17 5 20 4 22 7 23 9 26 10 25 14 26 15 26 20 22 22 20 22 17 21 14 20 13 18 14 14 13 11 12 8 11 5 15 2 18 0 18 1 17 -3 18 -1 19 -3 19 -3 17 -6 ],1666684177.0628238
CSI_DATA,STA,E8:65:49:04:94:52,-89,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5278343,0,223,0,0,5.46706,128,[-33 -16 13 0 -11 10 -16 10 -15 12 -13 6 -10 14 -18 13 -12 8 -14 14 -12 5 1 8 3 6 14 9 5 9 12 14 13 13 15 10 17 12 13 5 9 6 10 7 13 6 10 8 6 -3 12 1 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -1 -4 4 -7 9 -10 12 -13 7 -19 14 -16 4 -15 6 -10 9 -16 4 -12 5 -7 10 -11 8 -1 5 0 9 -2 14 3 10 14 14 9 12 10 13 0 11 14 9 7 15 14 17 17 10 1 9 ],1666684178.300363
CSI_DATA,STA,E8:65:49:45:42:44,-74,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5280271,0,238,0,0,5.47159,128,[-18 -32 14 0 31 -11 29 -9 28 -10 23 -10 20 -7 18 -6 17 -1 14 -2 16 3 16 8 16 9 18 12 19 14 22 12 23 13 26 15 25 12 23 11 23 6 21 9 19 7 18 6 13 6 9 6 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -10 9 -11 8 -7 7 -10 9 -10 9 -9 8 -6 10 -8 12 -4 12 -8 13 -7 14 -4 14 -4 19 -3 18 0 18 -2 22 -2 22 -2 23 0 24 -1 25 -1 29 0 30 1 34 -1 34 -2 35 -9 ],1666684178.3492312
CSI_DATA,STA,E8:65:49:45:42:42,-75,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5292559,0,223,0,0,5.48067,128,[-33 -16 13 0 30 3 30 2 26 1 26 0 21 -1 20 2 18 3 16 3 13 5 12 9 12 12 13 15 16 18 15 21 17 19 17 20 19 21 18 18 19 17 17 16 15 14 12 12 10 10 7 10 3 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -6 12 -7 11 -7 13 -6 10 -8 11 -6 10 -5 11 -4 9 -3 10 -1 12 0 13 2 12 4 14 5 15 6 17 7 20 9 20 9 23 10 24 10 27 10 28 11 30 11 29 10 33 9 35 9 ],1666684178.3901243
CSI_DATA,STA,E8:65:49:04:94:51,-90,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5302920,0,218,0,0,5.49105,128,[-38 -96 13 0 -1 13 -1 12 0 12 0 19 -4 20 -8 15 -5 18 -4 15 -6 17 2 11 5 7 11 7 11 3 12 9 15 6 19 3 25 -2 19 2 23 2 16 8 9 -4 16 -2 9 -1 7 -6 13 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 6 2 2 8 -7 12 -1 7 -2 18 -9 18 -10 16 0 18 -5 14 -5 14 1 14 -2 11 3 14 2 -1 2 3 9 11 10 2 16 4 13 -4 15 -4 26 -6 23 -4 19 2 16 0 10 1 ],1666684178.391119
CSI_DATA,STA,E8:65:49:45:42:41,-75,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5317136,0,218,0,0,5.50526,128,[-38 -96 13 0 20 15 18 16 18 16 14 12 14 13 12 13 8 9 7 12 5 11 3 12 1 13 0 16 -1 16 -2 19 -1 20 -2 19 -2 20 -1 20 -1 21 -1 19 0 17 -2 15 -4 14 -5 11 -7 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 2 11 2 11 2 10 0 11 2 10 1 9 1 9 1 8 2 7 3 4 5 4 5 6 10 6 13 6 14 5 17 8 19 11 19 11 20 14 24 14 23 16 24 16 24 20 22 21 24 20 23 ],1666684178.3921156
CSI_DATA,STA,E8:65:49:45:42:43,-76,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5341712,0,229,0,0,5.52984,128,[-27 80 14 0 4 32 3 30 4 28 6 26 1 21 2 20 -1 16 -3 15 -8 15 -10 13 -9 13 -14 13 -17 11 -19 15 -23 13 -24 14 -22 13 -23 14 -26 14 -22 14 -23 12 -24 10 -20 9 -18 3 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 7 11 6 10 6 10 6 7 7 9 4 9 4 8 4 3 5 1 8 -1 10 -4 11 -5 16 -9 18 -8 23 -8 25 -9 29 -9 31 -8 36 -6 37 -3 39 -4 41 -1 41 1 40 1 41 5 42 ],1666684178.4614513
CSI_DATA,STA,E8:65:49:04:94:50,-87,10,0,0,0,0,0,0,0,0,0,-94,0,11,0,5358218,0,236,0,0,5.54636,128,[-20 -64 14 0 -7 -17 -2 -17 8 -16 6 -22 7 -17 13 -24 5 -19 11 -20 8 -17 6 -12 0 -15 -7 -3 -19 -10 -13 -4 -20 1 -26 -13 -19 -6 -27 -8 -22 -10 -23 -5 -16 -13 -15 -6 -9 -9 -6 -5 -5 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -1 1 -8 -2 -4 -6 -13 -9 -17 -6 -26 -14 -27 1 -30 -5 -27 -5 -30 -5 -21 -5 -19 -14 -21 -9 -16 -11 -15 -8 -13 -10 -4 -15 1 -20 0 -21 9 -19 12 -21 8 -16 11 -21 9 -12 7 -8 0 ],1666684178.4893765
