type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,STA,0C:B8:15:C1:B6:35,-74,11,0,0,0,0,0,0,0,0,0,-94,0,9,2,26392,0,34,0,0,0.214286,128,[34 32 2 0 0 0 0 0 0 0 0 0 -5 -18 -5 -17 -7 -22 -8 -20 -11 -22 -9 -21 -11 -21 -10 -19 -14 -21 -16 -22 -17 -22 -18 -22 -15 -24 -16 -22 -16 -21 -19 -22 -18 -19 -16 -16 -18 -15 -15 -15 -15 -14 -16 -14 -13 -13 -15 -12 -16 -12 -15 -10 0 0 -12 -9 -14 -7 -15 -6 -13 -6 -10 -5 -10 -4 -12 -4 -10 -5 -11 -4 -11 -4 -10 -2 -10 -5 -9 -6 -9 -8 -7 -10 -6 -10 -6 -14 -4 -14 -4 -19 -3 -20 0 -18 2 -22 3 -26 5 -27 10 -26 11 -29 0 0 0 0 0 0 0 0 0 0 ],1666684116.4648356
CSI_DATA,STA,0C:B8:15:C1:B6:35,-74,11,0,0,0,0,0,0,0,0,0,-94,0,9,2,39877,0,131,0,0,0.22735,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -8 16 -5 21 -6 20 -4 23 -3 23 -3 22 -3 24 -1 24 1 26 1 24 2 26 3 26 4 27 3 26 3 25 7 25 2 22 5 21 5 21 7 22 8 18 9 20 5 18 9 16 9 18 7 17 0 0 7 12 8 12 6 9 10 8 8 6 10 9 8 5 9 6 7 4 6 5 7 8 5 7 5 8 5 11 4 11 3 12 0 15 -3 17 -4 17 -7 20 -7 20 -8 22 -12 22 -15 23 -17 25 -20 24 0 0 0 0 0 0 0 0 0 0 ],1666684116.5038283
CSI_DATA,STA,0C:B8:15:C1:B6:35,-74,11,0,0,0,0,0,0,0,0,0,-93,0,9,2,4044250,0,30,0,0,4.23175,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -5 -14 -8 -16 -8 -19 -11 -20 -9 -22 -9 -20 -11 -22 -8 -22 -12 -23 -12 -23 -14 -23 -15 -25 -14 -22 -15 -22 -13 -20 -21 -20 -14 -18 -14 -20 -17 -17 -18 -16 -15 -16 -18 -14 -18 -13 -16 -11 -20 -12 -17 -10 0 0 -16 -11 -16 -6 -14 -5 -15 -6 -11 -5 -13 -3 -13 -3 -12 -4 -12 -3 -11 -3 -14 -3 -11 -3 -13 -5 -14 -5 -14 -6 -14 -6 -14 -10 -15 -11 -14 -13 -13 -16 -13 -18 -12 -20 -11 -23 -11 -25 -9 -26 -7 -31 0 0 0 0 0 0 0 0 0 0 ],1666684120.3847878
CSI_DATA,STA,E8:65:49:04:93:13,-74,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4183635,0,229,0,0,4.37146,128,[-27 80 14 0 21 -5 18 -8 20 -10 19 -13 19 -14 21 -16 24 -16 23 -18 22 -17 24 -16 23 -18 23 -18 22 -15 21 -13 21 -14 21 -11 19 -11 16 -9 13 -7 12 -6 9 -6 8 -6 4 -5 3 -8 2 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 8 16 8 16 9 18 11 21 16 22 15 20 20 19 22 18 24 15 25 12 23 9 22 9 18 8 16 10 14 10 8 14 6 18 4 21 3 22 3 24 5 22 4 24 5 23 5 22 4 23 3 ],1666684120.5772986
CSI_DATA,STA,E8:65:49:04:93:10,-75,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4214356,0,236,0,0,4.40153,128,[-20 -64 14 0 0 20 1 22 4 21 4 22 6 23 8 24 9 24 9 27 9 28 8 27 7 26 10 26 6 27 6 27 4 24 2 22 2 20 2 19 1 16 3 14 0 12 2 8 2 5 3 6 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 12 -12 13 -14 13 -18 15 -19 16 -23 17 -25 17 -28 13 -29 12 -28 7 -27 7 -26 6 -21 6 -18 4 -14 7 -14 7 -10 13 -9 18 -9 18 -12 19 -11 22 -10 22 -12 22 -11 22 -10 20 -11 22 ],1666684120.6767855
CSI_DATA,STA,E8:65:49:04:93:14,-74,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4226644,0,238,0,0,4.41386,128,[-18 -32 14 0 -18 1 -17 5 -14 6 -18 6 -17 12 -17 11 -17 13 -19 13 -16 15 -18 15 -17 16 -16 15 -17 16 -13 15 -14 14 -13 12 -11 13 -10 11 -9 10 -8 8 -5 7 -3 7 -1 6 0 5 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 20 -13 -11 8 -24 -1 -24 -5 -18 1 -22 1 -24 3 -24 4 -22 3 -23 5 -21 3 -19 3 -17 0 -14 -2 -14 -6 -13 -9 -11 -9 -10 -13 -10 -14 -11 -17 -11 -17 -9 -18 -10 -18 -9 -17 -7 -17 -6 ],1666684120.6977715
CSI_DATA,STA,E8:65:49:04:93:12,-74,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4238933,0,223,0,0,4.42607,128,[-33 -16 13 0 16 -10 15 -11 15 -15 15 -18 15 -21 15 -23 17 -22 15 -24 16 -25 15 -24 15 -23 15 -20 16 -22 17 -21 15 -18 16 -17 14 -13 13 -13 10 -12 9 -10 9 -9 5 -8 5 -7 2 -8 -1 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 17 -3 21 1 23 1 26 2 27 5 28 6 29 9 27 12 24 13 22 14 20 13 18 11 14 10 15 6 14 1 16 -1 18 -5 20 -6 22 -7 22 -8 23 -5 24 -6 25 -7 23 -8 21 -8 ],1666684120.7277777
CSI_DATA,STA,E8:65:49:04:93:11,-74,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4263509,0,218,0,0,4.45064,128,[-38 -96 13 0 -10 -16 -12 -15 -11 -15 -14 -15 -17 -14 -18 -15 -19 -15 -20 -15 -21 -15 -20 -15 -20 -16 -20 -17 -19 -15 -17 -16 -17 -14 -16 -12 -15 -14 -12 -11 -12 -10 -9 -11 -7 -5 -10 -6 -9 -10 -4 -8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -13 9 -13 8 -16 9 -19 10 -22 15 -20 16 -22 17 -20 22 -19 21 -17 20 -14 18 -13 16 -11 13 -10 8 -11 7 -12 3 -13 2 -19 -2 -19 -3 -21 -1 -22 0 -24 1 -23 1 -22 -1 -21 -1 -22 ],1666684120.7447808
CSI_DATA,STA,E8:65:49:04:93:13,-74,10,0,0,0,0,0,0,0,0,0,-93,0,1,0,4288481,0,229,0,0,4.47561,128,[-27 80 14 0 0 18 5 21 4 20 8 20 8 22 10 23 11 26 10 27 10 24 10 27 10 26 11 23 9 26 6 26 6 22 5 23 4 20 3 18 2 17 0 15 2 12 3 9 3 6 5 6 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 11 -11 14 -13 16 -16 16 -17 17 -21 19 -24 19 -26 18 -27 15 -28 13 -25 11 -24 7 -21 7 -17 8 -14 6 -11 10 -10 13 -9 16 -9 18 -6 20 -8 23 -8 23 -9 24 -8 22 -9 23 -7 22 ],1666684120.7657723
CSI_DATA,STA,E4:AA:5D:19:8C:B4,-89,10,0,0,0,0,0,0,0,0,0,-93,0,6,0,4809064,0,238,0,0,4.99659,128,[-18 -32 14 0 -17 20 -16 15 -9 12 1 18 -5 7 1 8 1 5 2 4 8 -1 13 -2 19 -14 15 -12 19 -14 17 -12 8 -10 11 -11 19 -10 11 -4 14 -9 14 1 11 1 5 3 7 5 12 9 9 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 3 -16 -2 -17 -6 -15 -1 -16 -11 -17 -1 -14 0 -10 -5 -14 -4 -12 -5 -5 -2 -3 -3 2 -13 0 -12 4 -5 5 -5 3 -14 6 -9 -1 -6 -4 -3 3 -5 -1 2 -8 2 -14 1 -13 11 -6 14 ],1666684120.9957538
