type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_DATA,AP,0C:B8:15:C1:99:F8,-50,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,33633,0,30,0,0,0.228471,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -18 -11 -17 -12 -18 -14 -19 -13 -17 -14 -14 -14 -16 -14 -14 -13 -14 -14 -13 -15 -15 -15 -15 -15 -14 -14 -13 -14 -13 -12 -16 -13 -13 -11 -13 -12 -13 -12 -15 -10 -15 -10 -16 -10 -14 -11 -16 -11 -18 -10 -17 -10 0 0 -18 -9 -19 -9 -18 -8 -20 -9 -17 -9 -19 -8 -20 -7 -18 -8 -20 -7 -19 -7 -21 -7 -18 -6 -19 -7 -20 -6 -20 -5 -19 -4 -22 -5 -21 -5 -21 -3 -21 -4 -20 -4 -21 -5 -21 -5 -22 -7 -20 -7 -20 -7 0 0 0 0 0 0 0 0 0 0 ],1665495502.467764
CSI_DATA,AP,0C:B8:15:C1:99:F8,-60,11,1,7,1,1,1,0,0,0,1,-95,0,6,1,109336,0,157,0,0,0.304046,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 6 12 6 13 7 12 8 12 8 11 9 11 9 10 9 10 10 9 9 10 9 9 9 9 9 9 9 8 9 8 9 8 9 8 9 9 9 8 9 8 9 8 9 8 8 8 8 9 8 9 8 0 0 9 8 9 8 9 8 10 8 9 8 10 8 10 8 10 7 10 8 10 7 10 7 10 7 11 7 11 7 11 7 11 6 11 7 11 6 11 6 12 6 12 6 12 6 13 6 13 6 13 6 13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -26 17 -24 16 -26 16 -25 15 -25 16 -25 15 -24 15 -26 13 -25 15 -28 14 -26 15 -27 14 -27 13 -25 14 -26 13 -26 13 -28 13 -27 14 -29 12 -25 13 -28 10 -26 10 -28 12 -26 10 -27 12 -28 8 -27 8 -29 9 -29 8 -31 10 -31 10 -32 10 -29 11 -33 9 -31 11 -33 10 -32 12 -32 11 -33 12 -33 11 -33 11 -33 12 -34 14 -34 16 -35 16 -32 18 -35 18 -31 18 -32 20 -32 20 -31 20 -30 22 -29 21 -27 23 -27 23 -28 25 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 18 21 20 19 19 19 22 16 21 17 22 14 22 15 22 14 23 14 21 14 22 13 22 13 22 13 23 13 23 9 21 11 22 11 19 13 21 11 22 12 20 12 22 12 18 12 19 13 19 13 18 13 18 14 20 14 19 15 21 14 18 15 19 15 19 15 18 16 18 14 19 15 18 17 17 17 19 18 18 17 19 17 17 18 17 18 17 20 17 19 16 22 17 21 17 22 16 20 16 22 17 22 17 24 18 20 16 22 16 24 18 23 16 0 0 ],1665495502.5491247
CSI_DATA,AP,0C:B8:15:C1:99:F8,-60,11,1,7,1,1,1,0,0,0,1,-95,0,6,1,144449,0,135,0,0,0.33905,384,[-121 112 8 0 0 0 0 0 0 0 0 0 9 13 9 14 8 14 7 15 7 14 7 15 5 15 4 15 4 15 4 14 4 14 4 14 4 14 4 14 4 14 4 14 3 14 3 13 3 14 4 14 3 13 4 13 3 13 4 13 4 13 4 13 0 0 4 13 5 13 5 13 5 13 5 13 5 13 5 13 5 13 5 13 6 12 6 13 6 13 7 13 7 14 7 13 5 12 6 11 8 13 8 13 8 14 8 13 8 14 9 13 10 13 9 13 9 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 -9 31 -8 32 -9 32 -8 31 -10 32 -10 31 -11 33 -11 30 -10 31 -12 33 -10 31 -10 33 -11 30 -12 30 -11 32 -12 32 -13 31 -14 32 -15 29 -12 30 -12 28 -14 30 -16 31 -14 29 -16 31 -15 27 -16 28 -16 29 -17 29 -18 30 -20 33 -19 31 -16 33 -18 31 -17 32 -18 33 -18 34 -19 34 -19 36 -18 34 -18 35 -17 37 -19 37 -17 40 -16 37 -13 41 -13 38 -12 40 -12 38 -9 39 -7 40 -7 40 -5 39 -5 39 -5 40 -3 41 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 31 5 32 3 30 1 33 1 32 -1 32 -3 30 -2 29 -4 30 -4 28 -4 27 -3 28 -3 29 -5 29 -4 30 -6 26 -6 26 -4 26 -4 28 -5 28 -3 27 -4 27 -3 24 -3 25 -3 26 -2 26 -3 27 -3 29 -2 26 -1 28 -2 26 0 28 0 27 0 29 -1 27 1 28 1 27 2 28 1 28 1 30 3 34 3 27 4 28 -1 21 4 28 4 29 4 29 5 30 6 31 6 30 7 31 7 32 7 33 6 28 8 31 7 33 7 32 0 0 ],1665495502.5839653
CSI_DATA,AP,0C:B8:15:C1:99:F8,-66,11,1,7,1,1,1,0,0,0,1,-95,0,6,1,433288,0,390,0,0,0.627895,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -7 -12 -7 -13 -6 -14 -6 -15 -4 -14 -4 -14 -3 -14 -3 -13 -2 -14 -3 -14 -2 -13 -2 -14 -2 -13 -2 -13 -2 -13 -2 -12 -2 -13 -2 -12 -2 -13 -2 -13 -2 -13 -2 -13 -2 -12 -3 -12 -3 -13 -3 -12 0 0 -3 -12 -3 -13 -4 -13 -4 -12 -4 -13 -4 -13 -4 -13 -4 -13 -5 -13 -5 -12 -5 -12 -6 -13 -5 -13 -5 -13 -5 -12 -6 -13 -6 -13 -7 -13 -6 -13 -7 -13 -7 -13 -7 -13 -7 -13 -8 -14 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 11 -27 14 -26 13 -26 12 -25 14 -26 13 -27 13 -26 14 -24 13 -24 15 -26 14 -28 15 -29 14 -26 15 -26 15 -25 17 -27 16 -26 15 -26 14 -26 13 -26 14 -24 15 -24 15 -25 14 -24 14 -23 14 -22 16 -23 17 -22 17 -20 19 -22 18 -21 18 -21 18 -22 18 -23 19 -22 20 -23 20 -25 20 -22 20 -24 21 -23 20 -23 21 -25 21 -26 21 -27 20 -28 19 -28 19 -28 19 -28 17 -31 15 -32 13 -31 12 -33 12 -31 14 -31 12 -31 11 -31 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -26 -7 -27 -6 -26 -5 -29 -5 -27 -4 -25 -2 -27 -2 -26 1 -25 0 -25 0 -25 -1 -25 0 -25 -2 -26 0 -24 -1 -24 1 -25 2 -23 0 -23 1 -24 -1 -23 2 -24 -1 -22 -3 -23 -2 -23 -3 -23 -4 -22 -3 -23 -3 -23 -3 -24 -4 -24 -4 -25 -5 -24 -6 -24 -5 -25 -5 -26 -8 -25 -8 -25 -10 -24 -8 -25 -7 -24 -9 -24 -8 -24 -9 -26 -10 -24 -9 -24 -10 -24 -10 -24 -10 -28 -12 -25 -12 -27 -13 -26 -10 -26 -10 -25 -12 -28 -11 -29 -12 -26 0 0 ],1665495502.873686
CSI_DATA,AP,0C:B8:15:C1:99:F8,-56,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,459476,0,390,0,0,0.654321,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 15 -14 16 -13 18 -14 18 -13 18 -12 17 -9 18 -10 17 -9 18 -9 18 -8 18 -9 19 -9 18 -8 17 -8 16 -7 18 -8 16 -6 16 -6 15 -7 15 -7 14 -8 16 -8 15 -7 14 -9 16 -10 15 -10 0 0 15 -11 16 -12 15 -11 15 -12 14 -10 14 -12 14 -13 14 -12 14 -14 15 -13 15 -13 14 -12 14 -13 15 -14 14 -13 14 -14 15 -16 14 -14 13 -14 14 -15 14 -16 15 -16 15 -17 14 -16 15 -16 14 -16 0 0 0 0 0 0 0 0 0 0 ],1665495502.8903604
CSI_DATA,AP,0C:B8:15:C1:99:F8,-66,11,1,7,1,1,1,0,0,0,1,-95,0,6,1,488284,0,82,0,0,0.682623,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 -11 9 -10 9 -11 10 -10 10 -10 10 -9 11 -8 11 -8 11 -8 11 -8 11 -7 11 -7 10 -7 11 -6 10 -7 11 -6 10 -5 10 -6 9 -7 10 -7 9 -7 10 -7 10 -6 9 -7 9 -7 9 -7 0 0 9 -8 9 -8 8 -8 10 -8 9 -8 10 -8 9 -8 9 -9 10 -9 9 -9 9 -9 9 -9 9 -10 9 -10 9 -10 9 -10 8 -10 9 -11 8 -11 9 -12 9 -11 9 -12 9 -12 9 -12 10 -12 9 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 -14 -27 -18 -25 -17 -24 -17 -27 -16 -27 -15 -26 -16 -25 -17 -27 -16 -25 -16 -29 -16 -28 -15 -29 -17 -27 -16 -25 -17 -25 -20 -25 -18 -25 -17 -25 -16 -28 -15 -26 -15 -25 -15 -25 -15 -25 -14 -26 -13 -25 -13 -26 -14 -26 -12 -27 -13 -26 -14 -26 -12 -26 -12 -27 -11 -27 -11 -30 -11 -27 -10 -28 -10 -29 -11 -30 -12 -30 -12 -32 -13 -32 -10 -26 -12 -35 -28 -28 -17 -31 -16 -31 -17 -31 -18 -28 -18 -28 -19 -30 -21 -28 -22 -28 -20 -25 -25 -26 -23 -24 -27 -21 -26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -21 17 -20 17 -20 18 -19 20 -19 18 -16 19 -16 19 -15 19 -15 20 -14 20 -12 20 -12 20 -12 20 -12 19 -13 20 -13 21 -12 20 -12 18 -12 18 -12 18 -13 18 -15 17 -14 18 -12 18 -12 18 -14 17 -14 17 -14 17 -16 17 -16 19 -17 16 -16 17 -16 17 -18 16 -16 16 -18 15 -17 17 -18 16 -18 18 -19 16 -18 18 -19 16 -19 16 -20 16 -20 15 -20 16 -21 15 -22 16 -23 17 -24 17 -22 16 -23 17 -22 19 -26 17 -26 15 -24 10 -22 0 0 ],1665495502.9310434
CSI_DATA,AP,0C:B8:15:C1:99:F8,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,935963,0,82,0,0,1.13068,128,[82 -96 4 0 0 0 0 0 0 0 0 0 19 -3 19 -2 20 -2 20 -1 19 0 16 2 16 1 17 2 18 1 17 3 18 2 18 3 16 3 16 3 15 2 17 1 15 2 15 1 15 1 15 1 15 1 17 0 14 2 15 0 18 0 17 -1 0 0 17 -1 18 -2 17 -3 18 -3 16 -2 18 -3 18 -3 17 -3 19 -4 18 -2 19 -3 17 -2 18 -3 18 -3 18 -4 19 -5 20 -6 19 -5 19 -4 19 -6 19 -5 20 -6 21 -5 21 -6 20 -4 20 -5 0 0 0 0 0 0 0 0 0 0 ],1665495503.368229
CSI_DATA,AP,0C:B8:15:C1:99:F8,-67,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,936449,0,82,0,0,1.13532,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -8 -6 -8 -7 -9 -6 -9 -5 -9 -5 -9 -4 -10 -4 -9 -4 -10 -4 -9 -3 -8 -3 -9 -4 -9 -3 -9 -3 -9 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -3 -8 -4 -8 -4 -8 -5 -9 0 0 -5 -8 -5 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -9 -5 -8 -7 -9 -6 -7 -6 -8 -6 -9 -6 -9 -6 -8 -6 -8 -6 -8 -7 -8 -7 -9 -7 -8 -7 -9 -7 -9 -7 -9 -7 -9 -8 -9 -7 -9 -7 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -37 24 -36 25 -38 24 -34 23 -37 26 -35 23 -35 25 -36 26 -36 31 -33 28 -40 25 -35 28 -37 23 -34 29 -34 26 -33 25 -32 25 -33 29 -33 23 -32 25 -32 23 -34 22 -30 25 -32 23 -30 22 -28 26 -29 28 -27 27 -28 28 -26 29 -25 31 -27 30 -23 29 -29 32 -24 31 -28 33 -30 34 -25 32 -29 34 -29 31 -28 32 -29 35 -28 36 -31 33 -31 34 -32 35 -34 30 -40 33 -36 29 -40 31 -41 26 -42 27 -39 24 -44 25 -40 20 -41 21 -48 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 -34 -14 -35 -17 -37 -16 -36 -8 -38 -9 -38 -11 -36 -6 -36 -8 -34 -10 -35 -10 -37 -10 -35 -8 -34 -9 -33 -9 -34 -6 -32 -6 -32 -9 -31 -10 -28 -6 -34 -8 -32 -8 -34 -8 -29 -12 -30 -11 -31 -12 -31 -10 -30 -11 -33 -12 -33 -11 -31 -15 -33 -17 -37 -11 -31 -15 -37 -13 -34 -11 -23 -14 -19 -15 -26 -16 -29 -16 -29 -18 -29 -18 -33 -21 -31 -20 -36 -19 -36 -19 -32 -20 -35 -21 -34 -22 -37 -22 -34 -24 -35 -22 -33 -22 -37 -26 -36 -25 -34 -26 -35 -25 -36 0 0 ],1665495503.3817458
CSI_DATA,AP,0C:B8:15:C1:99:F8,-66,11,1,6,1,1,1,0,0,0,0,-94,0,6,1,1435684,0,82,0,0,1.63015,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -3 -14 -3 -14 -3 -14 -1 -14 -1 -14 0 -14 0 -14 0 -13 1 -13 1 -13 1 -13 2 -13 1 -13 1 -12 1 -12 1 -12 1 -12 0 -12 0 -11 1 -12 0 -12 0 -12 0 -12 -1 -12 0 -12 0 -12 0 0 0 -13 -1 -13 -1 -12 -2 -13 -1 -13 -1 -13 -1 -13 -2 -13 -1 -13 -2 -13 -2 -13 -2 -13 -2 -13 -3 -13 -3 -13 -3 -13 -3 -14 -3 -14 -3 -14 -4 -14 -4 -15 -4 -14 -4 -14 -5 -15 -4 -15 -5 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -25 1 -28 5 -28 5 -30 6 -28 7 -29 7 -30 8 -29 7 -30 8 -29 7 -31 6 -30 7 -31 7 -30 7 -29 7 -30 6 -30 7 -29 6 -28 6 -28 7 -28 7 -27 7 -26 7 -26 8 -25 7 -26 8 -26 8 -25 9 -26 9 -26 10 -27 8 -25 10 -26 12 -26 12 -27 13 -27 12 -27 12 -28 12 -28 13 -29 13 -30 12 -29 11 -30 11 -30 10 -31 11 -32 12 -31 10 -33 9 -32 8 -32 7 -32 6 -33 4 -33 4 -34 2 -34 0 -33 -1 -32 -4 -1 -1 -1 -1 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -6 -26 -3 -26 -3 -27 -1 -26 0 -26 0 -26 2 -26 2 -25 2 -26 3 -25 4 -25 4 -24 4 -23 4 -23 4 -22 4 -22 3 -22 3 -21 2 -22 3 -22 2 -22 2 -22 2 -22 1 -22 2 -22 1 -23 4 -22 1 -23 0 -23 -1 -24 -1 -24 0 -24 -1 -24 -1 -24 -1 -25 -1 -24 -3 -25 -2 -25 -3 -24 -3 -24 -3 -24 -5 -25 -5 -24 -4 -26 -5 -26 -6 -26 -7 -26 -6 -28 -7 -27 -5 -28 -6 -28 -6 -28 -7 -27 -4 -30 -4 -30 -6 -30 -2 -32 -1 -1 ],1665495503.8746073
CSI_DATA,AP,0C:B8:15:C1:99:F8,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,1941402,0,82,0,0,2.13599,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 20 -6 19 -7 21 -8 21 -9 19 -9 17 -10 17 -10 15 -10 16 -10 16 -10 17 -10 17 -10 16 -9 16 -10 14 -9 17 -9 14 -9 14 -8 14 -8 14 -8 14 -8 15 -8 13 -6 15 -6 17 -6 17 0 0 -6 17 -6 18 -5 18 -6 18 -5 16 -6 18 -5 19 -6 18 -5 19 -6 18 -5 20 -5 18 -4 19 -5 19 -5 19 -4 19 -4 21 -3 19 -4 20 -4 20 -4 20 -4 21 -3 21 -2 22 -3 21 -3 21 0 0 0 0 0 0 0 0 0 0 ],1665495504.3736115
